,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2019 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
24,Burundi,,108,"5,439","5,987","6,379","7,365","8,676","10,160","11,531","2,665","2,925","3,132","3,629","4,288","5,031","5,719","2,774","3,062","3,247","3,736","4,388","5,129","5,812"
25,Comoros,,174,412,475,542,612,690,777,851,206,239,273,308,348,392,429,205,237,270,304,342,385,422
26,Djibouti,,262,590,630,718,783,840,914,974,297,317,361,394,447,483,512,293,313,357,390,393,431,462
27,Eritrea,,232,"2,259","2,204","2,292","2,827","3,170","3,343","3,497","1,130","1,097","1,141","1,410","1,584","1,674","1,753","1,129","1,107","1,151","1,416","1,586","1,668","1,744"
28,Ethiopia,,231,"47,888","57,048","66,225","76,346","87,640","100,835","112,079","23,880","28,441","33,019","38,074","43,727","50,409","56,069","24,007","28,607","33,205","38,272","43,912","50,427","56,010"
29,Kenya,,404,"23,725","27,768","31,965","36,625","42,031","47,878","52,574","11,820","13,811","15,867","18,172","20,869","23,783","26,122","11,905","13,958","16,098","18,453","21,162","24,096","26,452"
30,Madagascar,,450,"11,599","13,475","15,767","18,337","21,152","24,234","26,969","5,791","6,716","7,850","9,130","10,536","12,082","13,453","5,808","6,760","7,916","9,206","10,615","12,152","13,516"
31,Malawi,,454,"9,405","9,844","11,149","12,626","14,540","16,745","18,629","4,662","4,883","5,504","6,215","7,154","8,250","9,185","4,742","4,962","5,645","6,411","7,385","8,495","9,443"
32,Mauritius,1,480,"1,056","1,129","1,185","1,222","1,248","1,259","1,270",527,563,588,606,619,624,627,529,566,597,616,629,636,643
33,Mayotte,,175,95,123,150,178,209,240,266,48,63,76,88,102,118,131,46,61,74,90,107,122,135
34,Mozambique,,508,"12,987","15,483","17,712","20,494","23,532","27,042","30,366","6,205","7,381","8,469","9,848","11,351","13,092","14,746","6,782","8,102","9,243","10,646","12,180","13,950","15,620"
35,Réunion,,638,611,674,737,792,831,863,889,299,329,360,388,402,418,430,312,345,377,403,428,445,459
36,Rwanda,,646,"7,289","5,836","7,934","8,840","10,039","11,369","12,627","3,595","2,838","3,876","4,326","4,921","5,583","6,206","3,694","2,998","4,058","4,515","5,118","5,786","6,421"
37,Seychelles,,690,71,77,81,89,91,95,98,35,38,40,44,47,49,50,35,38,41,44,44,46,48
38,Somalia,,706,"7,225","7,492","8,872","10,447","12,044","13,797","15,443","3,630","3,757","4,443","5,226","6,016","6,883","7,700","3,595","3,735","4,429","5,220","6,028","6,914","7,743"
39,South Sudan,,728,"5,493","5,118","6,199","7,536","9,508","10,716","11,062","2,730","2,546","3,088","3,760","4,752","5,360","5,537","2,763","2,572","3,112","3,776","4,756","5,355","5,526"
40,Uganda,,800,"17,354","20,413","23,650","27,685","32,428","38,225","44,270","8,619","10,085","11,643","13,639","15,915","18,776","21,807","8,736","10,328","12,007","14,046","16,513","19,450","22,462"
41,United Republic of Tanzania,2,834,"25,204","29,649","33,499","38,450","44,347","51,483","58,005","12,541","14,752","16,661","19,138","22,119","25,696","28,981","12,663","14,897","16,838","19,312","22,227","25,787","29,025"
42,Zambia,,894,"8,037","9,097","10,416","11,856","13,606","15,879","17,861","4,006","4,518","5,164","5,861","6,719","7,857","8,843","4,031","4,579","5,252","5,995","6,887","8,022","9,018"
43,Zimbabwe,,716,"10,432","11,411","11,881","12,077","12,698","13,815","14,645","5,191","5,641","5,814","5,784","6,049","6,569","6,983","5,241","5,770","6,067","6,293","6,649","7,246","7,662"
44,Middle Africa,,911,"70,855","83,775","96,116","112,008","131,622","154,203","174,308","35,103","41,558","47,729","55,693","65,530","76,881","86,971","35,752","42,217","48,387","56,316","66,092","77,323","87,337"
45,Angola,,24,"11,848","13,945","16,395","19,434","23,356","27,884","31,825","5,937","6,960","8,155","9,639","11,549","13,791","15,745","5,912","6,985","8,240","9,794","11,807","14,093","16,081"
46,Cameroon,,120,"11,780","13,600","15,514","17,733","20,341","23,298","25,876","5,856","6,768","7,722","8,837","10,154","11,641","12,940","5,924","6,832","7,792","8,896","10,187","11,657","12,936"
47,Central African Republic,,140,"2,807","3,223","3,640","4,038","4,387","4,493","4,745","1,382","1,589","1,795","1,996","2,172","2,227","2,352","1,424","1,634","1,845","2,043","2,215","2,267","2,393"
48,Chad,,148,"5,963","7,010","8,356","10,097","11,952","14,111","15,947","2,958","3,483","4,159","5,031","5,962","7,042","7,961","3,006","3,527","4,197","5,065","5,990","7,069","7,986"
49,Congo,,178,"2,357","2,708","3,127","3,623","4,274","4,856","5,381","1,159","1,332","1,543","1,796","2,126","2,423","2,687","1,198","1,375","1,584","1,827","2,147","2,434","2,693"
50,Democratic Republic of the Congo,,180,"34,612","41,576","47,106","54,786","64,564","76,245","86,791","17,079","20,574","23,359","27,222","32,142","38,020","43,319","17,533","21,003","23,747","27,564","32,422","38,225","43,471"
51,Equatorial Guinea,,226,419,497,606,750,944,"1,169","1,356",208,252,314,398,513,646,754,211,245,292,352,430,523,602
52,Gabon,,266,949,"1,085","1,228","1,391","1,624","1,948","2,173",466,535,610,695,822,992,"1,106",484,550,618,695,802,956,"1,066"
53,Sao Tome and Principe,,678,119,132,142,157,180,199,215,59,65,70,78,90,100,108,60,67,72,80,90,100,107
54,Southern Africa,,913,"42,046","47,358","51,444","54,645","58,383","62,985","66,630","20,758","23,312","25,293","26,871","28,737","31,023","32,793","21,288","24,046","26,151","27,774","29,646","31,962","33,837"
55,Botswana,,72,"1,287","1,469","1,643","1,799","1,987","2,121","2,304",615,706,795,875,972,"1,021","1,114",671,763,848,924,"1,015","1,100","1,190"
56,Eswatini,,748,822,927,"1,005","1,031","1,065","1,104","1,148",389,442,483,489,502,532,563,433,485,522,541,563,572,585
57,Lesotho,,426,"1,704","1,899","2,033","1,996","1,996","2,059","2,125",778,923,977,964,970,"1,012","1,048",926,976,"1,056","1,032","1,026","1,047","1,077"
58,Namibia,,516,"1,433","1,628","1,795","1,938","2,119","2,315","2,495",690,785,865,935,"1,024","1,120","1,209",743,843,929,"1,003","1,095","1,194","1,286"
59,South Africa,,710,"36,801","41,436","44,968","47,881","51,217","55,386","58,558","18,286","20,455","22,172","23,607","25,270","27,337","28,859","18,515","20,980","22,796","24,273","25,947","28,049","29,699"
60,Western Africa,,914,"180,535","205,692","234,749","267,895","307,040","351,718","391,440","90,312","102,991","117,611","134,342","154,153","176,806","196,987","90,223","102,700","117,138","133,553","152,888","174,911","194,453"
61,Benin,,204,"4,978","5,906","6,866","7,982","9,199","10,576","11,801","2,424","2,895","3,383","3,955","4,569","5,270","5,891","2,555","3,011","3,483","4,027","4,630","5,306","5,910"
62,Burkina Faso,,854,"8,811","10,090","11,608","13,422","15,605","18,111","20,321","4,306","4,943","5,702","6,622","7,738","9,019","10,148","4,505","5,147","5,906","6,800","7,868","9,092","10,174"
63,Cabo Verde,,132,338,386,428,463,493,525,550,160,186,206,225,246,263,276,178,201,222,238,247,262,274
64,Côte d'Ivoire,,384,"11,925","14,200","16,455","18,355","20,533","23,226","25,717","6,208","7,369","8,479","9,379","10,427","11,747","12,974","5,717","6,831","7,976","8,975","10,106","11,479","12,742"
65,Gambia,,270,956,"1,129","1,318","1,544","1,793","2,086","2,348",477,564,656,767,890,"1,035","1,164",479,564,661,777,903,"1,051","1,183"
66,Ghana,,288,"14,773","17,014","19,279","21,815","24,780","27,849","30,418","7,438","8,581","9,731","11,019","12,533","14,105","15,416","7,335","8,433","9,548","10,795","12,246","13,744","15,002"
67,Guinea,,324,"6,352","7,270","8,241","9,110","10,192","11,432","12,771","3,049","3,484","3,934","4,343","4,858","5,475","6,166","3,303","3,786","4,307","4,766","5,334","5,957","6,605"
68,Guinea-Bissau,,624,975,"1,089","1,201","1,345","1,523","1,737","1,921",471,527,581,649,738,846,939,504,562,620,696,785,891,982
69,Liberia,,430,"2,076","2,045","2,848","3,218","3,891","4,472","4,937","1,032","1,017","1,420","1,609","1,948","2,244","2,481","1,044","1,028","1,428","1,609","1,943","2,229","2,456"
70,Mali,,466,"8,450","9,586","10,946","12,776","15,049","17,439","19,658","4,171","4,740","5,428","6,358","7,517","8,720","9,845","4,279","4,845","5,518","6,417","7,532","8,719","9,813"
71,Mauritania,,478,"2,034","2,314","2,630","3,024","3,494","4,046","4,526","1,010","1,146","1,308","1,508","1,747","2,028","2,272","1,024","1,167","1,322","1,516","1,747","2,019","2,254"
72,Niger,,562,"8,027","9,490","11,332","13,624","16,464","20,002","23,311","3,925","4,672","5,613","6,783","8,227","10,030","11,714","4,102","4,818","5,718","6,841","8,237","9,972","11,596"
73,Nigeria,,566,"95,212","107,948","122,284","138,865","158,503","181,137","200,964","47,897","54,345","61,648","70,121","80,161","91,721","101,832","47,316","53,603","60,635","68,744","78,342","89,417","99,132"
74,Saint Helena,3,654,7,6,6,5,5,6,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..
75,Senegal,,686,"7,526","8,690","9,798","11,090","12,678","14,578","16,296","3,746","4,311","4,813","5,417","6,172","7,089","7,946","3,780","4,380","4,984","5,673","6,506","7,489","8,350"
76,Sierra Leone,,694,"4,320","4,304","4,585","5,646","6,416","7,172","7,813","2,133","2,130","2,274","2,805","3,193","3,574","3,898","2,187","2,174","2,311","2,841","3,223","3,598","3,915"
77,Togo,,768,"3,774","4,226","4,924","5,612","6,422","7,323","8,082","1,862","2,080","2,432","2,777","3,186","3,639","4,021","1,913","2,147","2,493","2,835","3,236","3,685","4,062"
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,"288,060","323,178","355,882","391,986","435,367","481,520","517,106","145,659","163,624","179,942","199,133","222,727","246,800","265,615","142,402","159,554","175,940","192,852","212,640","234,720","251,490"
79,Northern Africa,,912,"139,745","156,511","171,323","186,421","202,940","223,862","241,781","70,326","78,798","86,162","93,703","101,867","112,444","121,479","69,419","77,713","85,161","92,719","101,073","111,418","120,302"
80,Algeria,,12,"25,759","28,758","31,042","33,150","35,977","39,728","43,053","13,036","14,564","15,731","16,766","18,161","20,064","21,750","12,723","14,194","15,311","16,384","17,816","19,664","21,303"
81,Egypt,,818,"56,134","62,334","68,832","75,524","82,761","92,443","100,388","28,207","31,389","34,650","38,098","41,806","46,718","50,723","27,928","30,945","34,181","37,426","40,955","45,725","49,665"
82,Libya,,434,"4,437","4,949","5,358","5,799","6,198","6,418","6,777","2,339","2,592","2,781","2,990","3,164","3,248","3,423","2,098","2,357","2,577","2,809","3,033","3,170","3,355"
83,Morocco,,504,"24,807","26,994","28,794","30,456","32,343","34,664","36,472","12,376","13,427","14,269","15,045","15,947","17,171","18,093","12,432","13,567","14,525","15,410","16,397","17,493","18,379"
84,Sudan,4,729,"20,148","24,095","27,275","30,950","34,545","38,903","42,813","10,103","12,085","13,677","15,515","17,232","19,425","21,388","10,044","12,010","13,598","15,434","17,313","19,478","21,425"
85,Tunisia,,788,"8,242","9,125","9,708","10,107","10,635","11,180","11,695","4,152","4,609","4,889","5,058","5,303","5,542","5,798","4,091","4,517","4,819","5,048","5,332","5,638","5,897"
86,Western Sahara,,732,217,256,314,438,480,526,582,114,133,164,231,253,276,305,103,123,150,207,227,250,278
87,Western Asia,,922,"148,316","166,667","184,559","205,564","232,426","257,658","275,325","75,333","84,826","93,779","105,431","120,860","134,356","144,137","72,983","81,841","90,779","100,133","111,567","123,302","131,188"
88,Armenia,,51,"3,538","3,217","3,070","2,981","2,877","2,926","2,958","1,715","1,524","1,441","1,402","1,346","1,375","1,391","1,823","1,693","1,629","1,579","1,531","1,550","1,566"
89,Azerbaijan,5,31,"7,243","7,775","8,123","8,539","9,032","9,623","10,048","3,541","3,797","3,971","4,207","4,475","4,789","5,016","3,701","3,978","4,151","4,332","4,557","4,834","5,032"
90,Bahrain,,48,496,564,665,889,"1,241","1,372","1,641",286,325,381,534,774,847,"1,055",210,239,283,355,467,525,586
91,Cyprus,6,196,767,855,943,"1,028","1,113","1,161","1,199",389,432,475,520,556,581,599,378,424,468,507,557,580,599
92,Georgia,7,268,"5,410","4,976","4,362","4,210","4,099","4,024","3,997","2,572","2,355","2,072","2,007","1,953","1,922","1,906","2,838","2,621","2,290","2,203","2,146","2,102","2,091"
93,Iraq,,368,"17,419","20,149","23,498","26,922","29,742","35,572","39,310","8,785","10,160","11,852","13,600","15,022","17,984","19,892","8,634","9,990","11,645","13,323","14,720","17,589","19,418"
94,Israel,,376,"4,448","5,271","5,946","6,529","7,346","7,978","8,519","2,220","2,603","2,930","3,221","3,628","3,956","4,237","2,228","2,668","3,016","3,309","3,718","4,022","4,282"
95,Jordan,,400,"3,566","4,589","5,122","5,766","7,262","9,267","10,102","1,868","2,400","2,655","2,975","3,704","4,693","5,113","1,698","2,189","2,467","2,791","3,558","4,573","4,988"
96,Kuwait,,414,"2,095","1,606","2,045","2,270","2,992","3,836","4,207","1,191",933,"1,195","1,340","1,730","2,256","2,563",905,673,850,930,"1,262","1,580","1,644"
97,Lebanon,,422,"2,803","3,528","3,843","4,699","4,953","6,533","6,856","1,383","1,754","1,915","2,391","2,516","3,288","3,449","1,420","1,774","1,928","2,308","2,437","3,245","3,406"
98,Oman,,512,"1,812","2,204","2,268","2,511","3,041","4,267","4,975","1,009","1,307","1,273","1,420","1,835","2,783","3,284",803,897,995,"1,091","1,207","1,484","1,691"
99,Qatar,,634,476,513,592,865,"1,856","2,566","2,832",319,338,386,585,"1,419","1,950","2,134",157,175,206,281,437,615,699
100,Saudi Arabia,,682,"16,234","18,639","20,664","23,816","27,421","31,718","34,269","9,087","10,336","11,248","13,261","15,427","18,041","19,784","7,147","8,303","9,415","10,555","11,994","13,677","14,485"
101,State of Palestine,8,275,"2,101","2,619","3,224","3,578","4,056","4,529","4,981","1,065","1,329","1,637","1,817","2,058","2,298","2,526","1,036","1,290","1,587","1,761","1,998","2,231","2,455"
102,Syrian Arab Republic,,760,"12,446","14,345","16,411","18,361","21,363","17,997","17,070","6,292","7,256","8,302","9,368","10,785","9,066","8,555","6,154","7,090","8,109","8,993","10,577","8,931","8,516"
103,Turkey,,792,"53,922","58,486","63,240","67,903","72,327","78,529","83,430","26,630","28,836","31,144","33,420","35,564","38,650","41,174","27,291","29,650","32,096","34,484","36,763","39,879","42,256"
104,United Arab Emirates,,784,"1,828","2,415","3,134","4,588","8,550","9,263","9,771","1,198","1,604","2,117","3,229","6,396","6,521","6,767",630,812,"1,017","1,359","2,154","2,742","3,004"
105,Yemen,,887,"11,710","14,913","17,409","20,107","23,155","26,498","29,162","5,782","7,537","8,783","10,134","11,672","13,356","14,692","5,928","7,376","8,626","9,973","11,483","13,142","14,470"
106,CENTRAL AND SOUTHERN ASIA,,921,"1,239,984","1,376,200","1,511,915","1,647,074","1,775,361","1,896,327","1,991,423","640,532","711,481","781,527","851,430","916,462","977,497","1,025,739","599,453","664,718","730,389","795,644","858,898","918,830","965,684"
107,Central Asia,,5500,"50,123","53,169","55,346","58,450","62,805","68,480","73,212","24,617","26,207","27,264","28,817","31,018","33,869","36,247","25,506","26,963","28,082","29,632","31,787","34,611","36,965"
108,Kazakhstan,,398,"16,384","15,839","14,923","15,403","16,252","17,572","18,551","7,952","7,673","7,177","7,419","7,856","8,508","9,000","8,432","8,166","7,746","7,984","8,397","9,064","9,552"
109,Kyrgyzstan,,417,"4,373","4,566","4,921","5,075","5,422","5,959","6,416","2,145","2,253","2,433","2,516","2,680","2,948","3,174","2,228","2,314","2,488","2,560","2,743","3,011","3,242"
110,Tajikistan,,762,"5,284","5,765","6,216","6,789","7,527","8,454","9,321","2,619","2,876","3,114","3,413","3,798","4,265","4,698","2,665","2,889","3,103","3,376","3,730","4,189","4,623"
111,Turkmenistan,,795,"3,684","4,208","4,516","4,755","5,087","5,565","5,942","1,810","2,072","2,223","2,339","2,503","2,740","2,926","1,874","2,136","2,293","2,416","2,585","2,825","3,016"
112,Uzbekistan,,860,"20,398","22,791","24,770","26,428","28,516","30,930","32,982","10,091","11,333","12,317","13,130","14,182","15,407","16,450","10,307","11,458","12,453","13,297","14,334","15,523","16,532"
113,Southern Asia,,5501,"1,189,861","1,323,030","1,456,569","1,588,624","1,712,555","1,827,847","1,918,211","615,915","685,275","754,263","822,613","885,445","943,628","989,492","573,947","637,756","702,307","766,011","827,111","884,219","928,719"
114,Afghanistan,,4,"12,412","18,111","20,780","25,654","29,186","34,414","38,042","6,345","9,393","10,690","13,240","14,936","17,686","19,530","6,068","8,718","10,090","12,415","14,250","16,727","18,512"
115,Bangladesh,,50,"103,172","115,170","127,658","139,036","147,575","156,256","163,046","53,216","59,294","65,595","71,222","75,016","79,217","82,474","49,956","55,876","62,063","67,814","72,560","77,039","80,572"
116,Bhutan,,64,531,535,591,649,686,728,763,273,274,302,340,360,384,405,258,261,289,309,325,344,358
117,India,,356,"873,278","963,923","1,056,576","1,147,610","1,234,281","1,310,152","1,366,418","453,257","500,831","549,388","597,052","642,164","681,223","710,130","420,020","463,092","507,188","550,558","592,117","628,929","656,288"
118,Iran (Islamic Republic of),,364,"56,366","61,443","65,623","69,762","73,763","78,492","82,914","28,745","31,304","33,388","35,490","37,180","39,730","41,890","27,622","30,138","32,236","34,273","36,582","38,762","41,024"
119,Maldives,,462,223,254,279,320,366,455,531,114,129,141,167,199,271,336,109,126,138,153,167,184,195
120,Nepal,,524,"18,905","21,576","23,941","25,745","27,013","27,015","28,609","9,396","10,903","11,920","12,788","13,297","12,398","13,047","9,510","10,673","12,021","12,957","13,717","14,617","15,562"
121,Pakistan,,586,"107,648","123,777","142,344","160,304","179,425","199,427","216,565","55,821","63,985","73,474","82,676","92,427","102,641","111,448","51,827","59,792","68,870","77,628","86,998","96,786","105,118"
122,Sri Lanka,,144,"17,326","18,243","18,778","19,545","20,262","20,908","21,324","8,748","9,163","9,366","9,638","9,866","10,078","10,233","8,578","9,080","9,412","9,907","10,395","10,830","11,090"
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,"1,837,799","1,950,220","2,044,789","2,125,348","2,201,807","2,279,490","2,334,623","933,103","989,642","1,037,057","1,078,363","1,117,990","1,156,649","1,183,590","904,696","960,578","1,007,732","1,046,986","1,083,816","1,122,841","1,151,033"
124,Eastern Asia,,906,"1,393,335","1,464,565","1,519,781","1,564,192","1,604,859","1,645,184","1,672,611","711,282","747,554","775,571","798,705","819,646","839,695","852,917","682,053","717,011","744,211","765,487","785,214","805,489","819,694"
125,China,9,156,"1,197,362","1,262,277","1,312,517","1,353,482","1,391,998","1,430,405","1,457,558","614,393","647,599","673,346","694,980","715,068","734,274","747,448","582,969","614,678","639,171","658,502","676,930","696,131","710,109"
126,"China, Hong Kong SAR",10,344,"5,728","6,084","6,606","6,770","6,966","7,186","7,436","2,910","3,052","3,250","3,252","3,277","3,333","3,418","2,818","3,032","3,357","3,517","3,690","3,853","4,018"
127,"China, Macao SAR",11,446,344,386,428,483,538,602,640,170,187,205,229,258,289,308,174,199,223,253,280,313,333
128,Dem. People's Republic of Korea,,408,"20,293","21,862","22,929","23,904","24,549","25,184","25,666","9,859","10,658","11,178","11,670","11,995","12,314","12,553","10,434","11,204","11,751","12,234","12,554","12,870","13,113"
129,Japan,,392,"124,505","126,365","127,524","128,326","128,542","127,985","126,860","61,357","62,190","62,625","62,886","62,875","62,537","61,950","63,148","64,176","64,900","65,441","65,668","65,448","64,910"
130,Mongolia,,496,"2,184","2,298","2,397","2,526","2,720","2,998","3,225","1,078","1,138","1,196","1,257","1,349","1,482","1,590","1,106","1,160","1,202","1,270","1,371","1,516","1,635"
131,Republic of Korea,,410,"42,918","45,293","47,379","48,701","49,546","50,823","51,225","21,514","22,730","23,772","24,431","24,825","25,466","25,649","21,404","22,563","23,607","24,270","24,721","25,357","25,576"
132,South-Eastern Asia,,920,"444,464","485,655","525,008","561,156","596,947","634,306","662,012","221,821","242,088","261,486","279,657","298,345","316,954","330,673","222,643","243,567","263,521","281,499","298,603","317,352","331,339"
133,Brunei Darussalam,,96,259,297,333,365,389,415,433,136,155,169,186,201,216,225,122,142,164,179,188,199,208
134,Cambodia,,116,"8,976","10,656","12,155","13,273","14,312","15,521","16,487","4,335","5,173","5,907","6,442","6,972","7,570","8,047","4,641","5,483","6,248","6,831","7,340","7,951","8,439"
