"destination_country","origin_country","Rank","1990","1995","2000","2005","2010","2015","2019"
"United States of America","Egypt",971,0,0,0,0,0,0,203205
"Spain","Venezuela (Bolivarian Republic of)",972,0,0,0,0,0,0,202859
"Syrian Arab Republic","Iraq",973,0,0,0,0,0,0,202831
"United Arab Emirates","Philippines",974,0,0,0,202658,0,0,0
"Australia","Italy",975,0,0,0,0,0,0,202617
"United Arab Emirates","Yemen",976,0,0,0,0,0,0,202574
"United States of America","Trinidad and Tobago",977,0,0,202410,0,0,0,0
"Latvia","Russian Federation",978,0,0,0,201748,0,0,0
"Switzerland","Germany",979,0,201043,0,0,0,0,0
"Spain","Germany",980,0,0,0,0,0,200641,0
"Saudi Arabia","Sri Lanka",981,200579,0,0,0,0,0,0
"United States of America","Portugal",982,0,0,0,200363,0,0,0
"Canada","Papua New Guinea",983,0,0,0,0,0,200280,0
"Italy","Switzerland",984,0,0,0,0,0,0,199233
"Spain","Germany",985,0,0,0,0,0,0,199117
"Switzerland","Italy",986,0,0,0,198947,0,0,0
"Argentina","Peru",987,0,0,0,0,0,0,198744
"Jordan","Iraq",988,0,0,0,0,0,198676,0
"Australia","Italy",989,0,0,0,0,0,198510,0
"United States of America","Honduras",990,0,198509,0,0,0,0,0
"United States of America","Portugal",991,0,0,0,0,198400,0,0
"Japan","Philippines",992,0,0,0,198241,0,0,0
"Mexico","United States of America",993,198230,0,0,0,0,0,0
"Zimbabwe","Mozambique",994,0,0,197838,0,0,0,0
"Spain","Peru",995,0,0,0,0,197827,0,0
"Rwanda","Democratic Republic of the Congo",996,0,0,0,197717,0,0,0
"Netherlands","Turkey",997,0,0,0,0,197219,0,0
"United States of America","Nicaragua",998,0,197100,0,0,0,0,0
"Sudan","Eritrea",999,0,0,0,0,0,0,197001
"China","Republic of Korea",1000,0,0,0,0,0,0,196874
"Netherlands","Suriname",1001,0,0,0,0,0,196783,0
"Sudan","Eritrea",1002,0,0,0,196564,0,0,0
"United Kingdom","Romania",1003,0,0,0,0,0,0,196503
"Australia","South Africa",1004,0,0,0,0,0,0,196142
"Netherlands","Turkey",1005,0,0,0,195774,0,0,0
"Oman","Pakistan",1006,0,0,0,0,0,195644,0
"United States of America","Thailand",1007,0,0,0,195494,0,0,0
"Turkey","North Macedonia",1008,0,0,0,0,0,0,195449
"Sweden","Finland",1009,0,0,195447,0,0,0,0
"Argentina","Peru",1010,0,0,0,0,0,195320,0
"Austria","Serbia",1011,0,0,0,0,0,195177,0
"Singapore","Malaysia",1012,195072,0,0,0,0,0,0
"Belgium","France",1013,0,0,0,0,0,0,194862
"Italy","Switzerland",1014,0,0,0,0,194518,0,0
"Yemen","Somalia",1015,0,0,0,0,194353,0,0
"Hungary","Romania",1016,194128,0,0,0,0,0,0
"Italy","Switzerland",1017,0,0,0,0,0,194030,0
"Spain","Peru",1018,0,0,0,0,0,0,193786
"Qatar","India",1019,0,0,0,193404,0,0,0
"Saudi Arabia","Jordan",1020,0,0,0,0,0,192620,0
"Kuwait","Philippines",1021,0,0,0,0,0,0,192143
"United States of America","Romania",1022,0,0,0,0,0,0,192040
"Switzerland","Italy",1023,0,191945,0,0,0,0,0
"Netherlands","Suriname",1024,0,0,0,0,0,0,191481
"Austria","Germany",1025,0,0,0,0,191269,0,0
"United States of America","Russian Federation",1026,190654,0,0,0,0,0,0
"Ukraine","Uzbekistan",1027,0,190478,0,0,0,0,0
"United States of America","Lao People's Democratic Republic",1028,0,190445,0,0,0,0,0
"Bangladesh","Malaysia",1029,0,0,0,190436,0,0,0
"United Kingdom","United States of America",1030,0,0,0,0,0,190133,0
"Netherlands","Suriname",1031,0,0,0,189945,0,0,0
"India","Sri Lanka",1032,0,0,189850,0,0,0,0
"United States of America","France",1033,0,0,0,0,0,0,189395
"Estonia","Russian Federation",1034,0,0,188970,0,0,0,0
"Italy","Republic of Moldova",1035,0,0,0,0,0,0,188923
"Belgium","Turkey",1036,188809,0,0,0,0,0,0
"Germany","Iraq",1037,0,0,0,0,0,0,188759
"United Arab Emirates","Yemen",1038,0,0,0,0,0,188606,0
"Jordan","Egypt",1039,0,0,0,188554,0,0,0
"Saudi Arabia","Sudan",1040,0,0,188246,0,0,0,0
"United States of America","Egypt",1041,0,0,0,0,0,188170,0
"United Kingdom","United States of America",1042,0,0,0,0,188055,0,0
"Netherlands","Suriname",1043,0,0,0,0,187312,0,0
"Dominican Republic","Haiti",1044,187210,0,0,0,0,0,0
"Saudi Arabia","Nepal",1045,0,0,187079,0,0,0,0
"South Africa","Lesotho",1046,187019,0,0,0,0,0,0
"Qatar","Egypt",1047,0,0,0,0,0,0,186840
"China","Republic of Korea",1048,0,0,0,0,0,186786,0
"Netherlands","Indonesia",1049,186717,0,0,0,0,0,0
"Germany","Ukraine",1050,0,0,0,186103,0,0,0
"Burundi","Democratic Republic of the Congo",1051,0,0,0,0,0,0,185833
"Puerto Rico","United States of America",1052,0,0,0,0,185814,0,0
"Russian Federation","Turkmenistan",1053,0,0,0,0,0,185664,0
"Russian Federation","Turkmenistan",1054,0,0,0,0,0,0,185620
"Brazil","Portugal",1055,0,0,0,0,0,0,185489
"Austria","Turkey",1056,0,0,0,0,0,184847,0
"Spain","Peru",1057,0,0,0,0,0,184802,0
"Ireland","United Kingdom",1058,184671,0,0,0,0,0,0
"South Africa","Namibia",1059,0,0,0,0,0,0,184496
"Germany","Hungary",1060,0,0,0,0,0,0,184004
"Congo","Democratic Republic of the Congo",1061,0,0,183780,0,0,0,0
"Australia","Philippines",1062,0,0,0,0,183770,0,0
"Sweden","Finland",1063,0,0,0,183685,0,0,0
"Netherlands","Suriname",1064,0,0,183613,0,0,0,0
"Nigeria","Ghana",1065,0,0,0,0,183351,0,0
"Saudi Arabia","Sudan",1066,0,183214,0,0,0,0,0
"United Kingdom","Zimbabwe",1067,0,0,0,0,0,0,183117
"France","Germany",1068,0,0,182688,0,0,0,0
"Sweden","Finland",1069,0,182250,0,0,0,0,0
"Belgium","France",1070,0,0,0,0,0,182214,0
"Russian Federation","Turkmenistan",1071,0,0,0,0,182189,0,0
"Saudi Arabia","Nepal",1072,0,182078,0,0,0,0,0
"Sweden","Syrian Arab Republic",1073,0,0,0,0,0,0,181793
"Kuwait","Philippines",1074,0,0,0,0,0,181462,0
"Germany","Greece",1075,0,0,0,0,0,181290,0
"United Kingdom","Nigeria",1076,0,0,0,0,0,181136,0
"United States of America","Venezuela (Bolivarian Republic of)",1077,0,0,0,0,180905,0,0
"Netherlands","Morocco",1078,0,0,0,0,0,0,180879
"Hungary","Romania",1079,0,0,0,180592,0,0,0
"Spain","Germany",1080,0,0,0,180349,0,0,0
"Uzbekistan","Ukraine",1081,180213,0,0,0,0,0,0
"Russian Federation","Turkmenistan",1082,0,0,0,180124,0,0,0
"Canada","Poland",1083,0,0,180074,0,0,0,0
"Ukraine","Republic of Moldova",1084,180029,0,0,0,0,0,0
"Argentina","Spain",1085,0,179945,0,0,0,0,0
"Libya","State of Palestine",1086,0,179924,0,0,0,0,0
"Nigeria","Ghana",1087,0,0,0,179756,0,0,0
"Canada","Zambia",1088,0,0,0,0,0,0,179599
"Belgium","Morocco",1089,0,0,0,0,178899,0,0
"Saudi Arabia","Sudan",1090,178769,0,0,0,0,0,0
"United States of America","Romania",1091,0,0,0,0,0,177831,0
"Saudi Arabia","Nepal",1092,177661,0,0,0,0,0,0
"Romania","Republic of Moldova",1093,0,0,0,0,0,0,177482
"United States of America","Greece",1094,177398,0,0,0,0,0,0
"Australia","South Africa",1095,0,0,0,0,0,177390,0
"Canada","Poland",1096,177219,0,0,0,0,0,0
"France","Germany",1097,0,177141,0,0,0,0,0
"Spain","France",1098,0,0,0,177040,0,0,0
"Malaysia","Philippines",1099,0,0,176961,0,0,0,0
"Germany","Romania",1100,176920,0,0,0,0,0,0
"Turkey","Germany",1101,176820,0,0,0,0,0,0
"United States of America","Portugal",1102,0,0,0,0,0,176803,0
"France","United Kingdom",1103,0,0,0,0,0,0,176672
"Netherlands","Turkey",1104,0,0,176615,0,0,0,0
"Canada","Poland",1105,0,176548,0,0,0,0,0
"Brazil","Portugal",1106,0,0,0,176510,0,0,0
"Switzerland","Italy",1107,0,0,176442,0,0,0,0
"United States of America","Portugal",1108,0,0,0,0,0,0,176315
"Belgium","Italy",1109,176201,0,0,0,0,0,0
"Canada","Germany",1110,0,0,175979,0,0,0,0
"Israel","Russian Federation",1111,175938,0,0,0,0,0,0
"Congo","Democratic Republic of the Congo",1112,0,0,0,0,0,0,175608
"Canada","Philippines",1113,0,175504,0,0,0,0,0
"India","Sri Lanka",1114,0,0,0,175411,0,0,0
"Belgium","Morocco",1115,0,0,0,174789,0,0,0
"Spain","France",1116,0,0,174641,0,0,0,0
"Ukraine","Republic of Moldova",1117,0,174541,0,0,0,0,0
"Australia","Viet Nam",1118,0,0,0,174440,0,0,0
"China, Hong Kong SAR","Indonesia",1119,0,0,0,0,0,0,174380
"Russian Federation","Turkmenistan",1120,0,0,174352,0,0,0,0
"United States of America","Nigeria",1121,0,0,0,174148,0,0,0
"Australia","Malaysia",1122,0,0,0,0,0,0,174136
"United States of America","Thailand",1123,0,0,174112,0,0,0,0
"France","United Kingdom",1124,0,0,0,0,174048,0,0
"Germany","Greece",1125,0,0,0,0,173992,0,0
"United States of America","Ghana",1126,0,0,0,0,0,0,173952
"Israel","Russian Federation",1127,0,173915,0,0,0,0,0
"United States of America","Greece",1128,0,173870,0,0,0,0,0
"Netherlands","Indonesia",1129,0,173584,0,0,0,0,0
"United States of America","France",1130,0,0,0,0,0,173561,0
"United Kingdom","Italy",1131,0,0,0,0,0,0,173305
"Russian Federation","Turkmenistan",1132,0,173279,0,0,0,0,0
"Canada","Germany",1133,173222,0,0,0,0,0,0
"United Kingdom","Romania",1134,0,0,0,0,173039,0,0
"United Kingdom","Romania",1135,0,0,0,0,0,173039,0
"United Arab Emirates","Yemen",1136,0,0,0,0,172602,0,0
"Estonia","Russian Federation",1137,0,0,0,172571,0,0,0
"Canada","Germany",1138,0,172549,0,0,0,0,0
"Netherlands","Morocco",1139,0,0,0,0,0,172291,0
"Switzerland","Portugal",1140,0,0,0,0,172274,0,0
"Kenya","Somalia",1141,0,172164,0,0,0,0,0
"France","Germany",1142,171594,0,0,0,0,0,0
"United States of America","Lao People's Democratic Republic",1143,171577,0,0,0,0,0,0
"Jordan","Egypt",1144,171413,0,0,0,0,0,0
"Argentina","Italy",1145,0,0,0,171388,0,0,0
"Italy","Republic of Moldova",1146,0,0,0,0,0,171345,0
"Belgium","France",1147,0,0,0,0,171307,0,0
"Ukraine","Republic of Moldova",1148,0,0,171185,0,0,0,0
"Kyrgyzstan","Russian Federation",1149,0,0,0,170969,0,0,0
"Israel","Ukraine",1150,0,170963,0,0,0,0,0
"Switzerland","France",1151,0,0,0,0,0,0,170887
"Congo","Democratic Republic of the Congo",1152,0,0,0,0,0,170368,0
"Hungary","Romania",1153,0,170168,0,0,0,0,0
"United Kingdom","France",1154,0,0,0,0,0,0,170142
"United States of America","Greece",1155,0,0,169958,0,0,0,0
"United States of America","Romania",1156,0,0,0,0,169928,0,0
"South Africa","Zimbabwe",1157,0,0,0,169894,0,0,0
"United States of America","Ireland",1158,169827,0,0,0,0,0,0
"Sweden","Finland",1159,0,0,0,0,169521,0,0
"Italy","Morocco",1160,169285,0,0,0,0,0,0
"Argentina","Peru",1161,0,0,0,0,169262,0,0
"United States of America","Nicaragua",1162,168659,0,0,0,0,0,0
"Nigeria","Mali",1163,0,0,0,0,0,0,168657
"Qatar","Philippines",1164,0,0,0,0,0,0,168461
"Netherlands","Morocco",1165,0,0,0,168387,0,0,0
"Kuwait","Egypt",1166,0,0,0,0,168272,0,0
"Kazakhstan","Uzbekistan",1167,0,0,168223,0,0,0,0
"United States of America","Guyana",1168,0,168164,0,0,0,0,0
"Israel","Ukraine",1169,168081,0,0,0,0,0,0
"Algeria","Western Sahara",1170,167905,0,0,0,0,0,0
"Netherlands","Morocco",1171,0,0,0,0,167858,0,0
"Saudi Arabia","Myanmar",1172,0,0,0,0,167772,0,0
"Burundi","Democratic Republic of the Congo",1173,0,0,0,0,0,167768,0
"Canada","Zambia",1174,0,0,0,0,0,167597,0
"Spain","Dominican Republic",1175,0,0,0,0,0,0,167176
"Netherlands","Suriname",1176,0,167083,0,0,0,0,0
"Israel","Morocco",1177,0,0,166953,0,0,0,0
"France","United Kingdom",1178,0,0,0,0,0,166907,0
"Algeria","Western Sahara",1179,0,166903,0,0,0,0,0
"Austria","Serbia",1180,0,0,0,0,166876,0,0
"Netherlands","Indonesia",1181,0,0,166679,0,0,0,0
"Israel","Morocco",1182,0,166657,0,0,0,0,0
"Canada","India",1183,166640,0,0,0,0,0,0
"Côte d'Ivoire","Guinea",1184,0,0,0,0,0,0,166489
"Canada","Germany",1185,0,0,0,166471,0,0,0
"United Arab Emirates","Jordan",1186,0,0,0,0,0,0,166467
"Germany","Serbia",1187,0,0,0,0,0,0,166432
"United Arab Emirates","Egypt",1188,165980,0,0,0,0,0,0
"Russian Federation","Turkmenistan",1189,165923,0,0,0,0,0,0
"Algeria","Western Sahara",1190,0,0,165911,0,0,0,0
"South Africa","United Kingdom",1191,0,0,0,165691,0,0,0
"United States of America","Ireland",1192,0,165333,0,0,0,0,0
"Algeria","Western Sahara",1193,0,0,0,0,0,0,165223
"Spain","Morocco",1194,0,165214,0,0,0,0,0
"Puerto Rico","United States of America",1195,0,0,0,0,0,165147,0
"Canada","Viet Nam",1196,0,0,0,0,165125,0,0
"Thailand","Lao People's Democratic Republic",1197,165019,0,0,0,0,0,0
"Brazil","Portugal",1198,0,0,0,0,0,164705,0
"South Africa","Namibia",1199,0,0,0,0,0,164599,0
"Republic of Moldova","Ukraine",1200,0,164474,0,0,0,0,0
"United Kingdom","United States of America",1201,0,0,0,164325,0,0,0
"Israel","Ukraine",1202,0,0,164271,0,0,0,0
"Canada","Iran (Islamic Republic of)",1203,0,0,0,0,0,0,163862
"Belgium","Italy",1204,0,163850,0,0,0,0,0
"United States of America","Greece",1205,0,0,0,0,0,0,163819
"Australia","Viet Nam",1206,0,0,163700,0,0,0,0
"Latvia","Russian Federation",1207,0,0,0,0,163606,0,0
"Qatar","Egypt",1208,0,0,0,0,0,163569,0
"Rwanda","Democratic Republic of the Congo",1209,0,0,163420,0,0,0,0
"Singapore","Indonesia",1210,0,0,0,0,0,163237,0
"Israel","Morocco",1211,0,0,0,0,0,163113,0
"Belgium","Turkey",1212,0,163108,0,0,0,0,0
"Kuwait","Pakistan",1213,0,0,0,162363,0,0,0
"China","Republic of Korea",1214,0,0,0,0,162303,0,0
"Israel","Russian Federation",1215,0,0,162154,0,0,0,0
"United Kingdom","Nigeria",1216,0,0,0,0,162051,0,0
"United Kingdom","Somalia",1217,0,0,0,0,0,0,161723
"Israel","Morocco",1218,0,0,0,161576,0,0,0
"Switzerland","Germany",1219,161440,0,0,0,0,0,0
"Italy","India",1220,0,0,0,0,0,0,161364
"United Kingdom","Sri Lanka",1221,0,0,0,0,0,0,161334
"United Kingdom","Zimbabwe",1222,0,0,0,0,0,161251,0
"Côte d'Ivoire","Guinea",1223,0,0,0,0,0,161189,0
"United States of America","Ghana",1224,0,0,0,0,0,161082,0
"India","Sri Lanka",1225,0,0,0,0,160971,0,0
"Nigeria","Mali",1226,0,0,0,0,0,160967,0
"Spain","Venezuela (Bolivarian Republic of)",1227,0,0,0,0,0,160478,0
"Spain","Germany",1228,0,0,160472,0,0,0,0
"United States of America","Ireland",1229,0,0,160447,0,0,0,0
"United States of America","France",1230,0,0,0,0,160300,0,0
"Canada","Poland",1231,0,0,0,160218,0,0,0
"Burundi","Rwanda",1232,0,160197,0,0,0,0,0
"Saudi Arabia","Ethiopia",1233,0,0,0,0,0,0,160192
"Bangladesh","Malaysia",1234,0,0,159993,0,0,0,0
"Italy","Republic of Moldova",1235,0,0,0,0,159899,0,0
"United States of America","Pakistan",1236,0,159793,0,0,0,0,0
"Sudan","Eritrea",1237,0,0,0,0,0,159748,0
"Uganda","Democratic Republic of the Congo",1238,0,0,0,0,159519,0,0
"Puerto Rico","United States of America",1239,0,0,0,0,0,0,159260
"United Kingdom","South Africa",1240,0,0,0,159229,0,0,0
"Kenya","Somalia",1241,0,0,159197,0,0,0,0
"Austria","Germany",1242,0,0,0,158975,0,0,0
"Algeria","Western Sahara",1243,0,0,0,0,0,158854,0
"Switzerland","France",1244,0,0,0,0,0,158819,0
"United Arab Emirates","Pakistan",1245,158710,0,0,0,0,0,0
"United States of America","Trinidad and Tobago",1246,0,158649,0,0,0,0,0
"Israel","Morocco",1247,0,0,0,0,0,0,158622
"Lithuania","Russian Federation",1248,158448,0,0,0,0,0,0
"United Kingdom","Lithuania",1249,0,0,0,0,0,0,158413
"Israel","Morocco",1250,0,0,0,0,158158,0,0
"United States of America","Greece",1251,0,0,0,158144,0,0,0
"Austria","Turkey",1252,0,0,0,0,158045,0,0
"United Kingdom","Jamaica",1253,0,0,0,0,0,0,157762
"Australia","Viet Nam",1254,0,157398,0,0,0,0,0
"Bahrain","India",1255,0,0,0,157081,0,0,0
"Israel","Morocco",1256,157029,0,0,0,0,0,0
"Spain","Dominican Republic",1257,0,0,0,0,0,156905,0
"Ukraine","Republic of Moldova",1258,0,0,0,156418,0,0,0
"Netherlands","Suriname",1259,156211,0,0,0,0,0,0
"Sweden","Finland",1260,0,0,0,0,0,156045,0
"Australia","South Africa",1261,0,0,0,0,155950,0,0
"Netherlands","Turkey",1262,0,155845,0,0,0,0,0
"Qatar","Sri Lanka",1263,0,0,0,0,0,0,155825
"Netherlands","Indonesia",1264,0,0,0,155822,0,0,0
"Canada","Puerto Rico",1265,0,0,0,0,0,0,155425
"Germany","Ukraine",1266,0,0,155257,0,0,0,0
"United States of America","France",1267,0,0,0,155257,0,0,0
"India","Sri Lanka",1268,0,0,0,0,0,155088,0
"Germany","Spain",1269,0,0,0,0,0,0,155083
"Argentina","Italy",1270,0,0,0,0,0,0,155008
"United States of America","France",1271,0,0,154992,0,0,0,0
"United Arab Emirates","Jordan",1272,0,0,0,0,0,154989,0
"Bangladesh","Indonesia",1273,0,0,0,0,0,0,154877
"Canada","Germany",1274,0,0,0,0,0,0,154763
"Nigeria","Togo",1275,0,0,0,0,0,0,154754
"Estonia","Russian Federation",1276,0,0,0,0,154721,0,0
"Canada","Portugal",1277,154655,0,0,0,0,0,0
"Côte d'Ivoire","Guinea",1278,0,0,0,0,154564,0,0
"Canada","Portugal",1279,0,0,154283,0,0,0,0
"United States of America","Ukraine",1280,154211,0,0,0,0,0,0
"Sweden","Finland",1281,153578,0,0,0,0,0,0
"Uzbekistan","Ukraine",1282,0,153360,0,0,0,0,0
"Italy","Philippines",1283,0,0,0,0,0,0,153280
"United Kingdom","United States of America",1284,0,0,153185,0,0,0,0
"Canada","Iran (Islamic Republic of)",1285,0,0,0,0,0,152912,0
"Bangladesh","Indonesia",1286,0,0,0,0,0,152862,0
"United States of America","Ethiopia",1287,0,0,0,0,152798,0,0
"China, Hong Kong SAR","Philippines",1288,0,0,0,0,0,0,152771
"Canada","Portugal",1289,0,152654,0,0,0,0,0
"United Kingdom","Italy",1290,0,0,0,0,0,152611,0
"Oman","India",1291,152554,0,0,0,0,0,0
"India","Sri Lanka",1292,0,0,0,0,0,0,152536
"Canada","Germany",1293,0,0,0,0,152345,0,0
"Argentina","Italy",1294,0,0,0,0,0,152338,0
"Canada","Poland",1295,0,0,0,0,152285,0,0
"Libya","State of Palestine",1296,152266,0,0,0,0,0,0
"Saudi Arabia","Jordan",1297,0,0,0,0,152257,0,0
"Republic of Moldova","Russian Federation",1298,0,152253,0,0,0,0,0
"United States of America","Romania",1299,0,0,0,152171,0,0,0
"United States of America","Greece",1300,0,0,0,0,0,151699,0
"Canada","Viet Nam",1301,0,0,0,151603,0,0,0
"Netherlands","Morocco",1302,0,0,151473,0,0,0,0
"Switzerland","Portugal",1303,0,0,0,151328,0,0,0
"Qatar","Nepal",1304,0,0,0,0,0,151314,0
"Ukraine","Republic of Moldova",1305,0,0,0,0,0,0,151242
"Georgia","Russian Federation",1306,151090,0,0,0,0,0,0
"Austria","Serbia",1307,0,0,0,150971,0,0,0
"Chile","Peru",1308,0,0,0,0,0,150885,0
"United States of America","Greece",1309,0,0,0,0,150879,0,0
"United Republic of Tanzania","Democratic Republic of the Congo",1310,0,0,0,150345,0,0,0
"Saudi Arabia","Lebanon",1311,0,0,0,0,0,0,150183
"Singapore","India",1312,0,0,0,0,0,150082,0
"Kazakhstan","Uzbekistan",1313,0,150058,0,0,0,0,0
"Russian Federation","Germany",1314,0,149872,0,0,0,0,0
"United Kingdom","France",1315,0,0,0,0,0,149825,0
"United Kingdom","Kenya",1316,0,0,0,0,0,0,149797
"Ukraine","Republic of Moldova",1317,0,0,0,0,0,149745,0
"Jordan","Syrian Arab Republic",1318,0,0,0,0,149685,0,0
"South Africa","Lesotho",1319,0,0,0,149432,0,0,0
"Russian Federation","Germany",1320,0,0,149414,0,0,0,0
"South Sudan","Uganda",1321,0,0,0,0,0,0,149303
"Ukraine","Republic of Moldova",1322,0,0,0,0,149246,0,0
"Australia","India",1323,0,0,0,148960,0,0,0
"Canada","Viet Nam",1324,0,0,148701,0,0,0,0
"Qatar","Philippines",1325,0,0,0,0,0,148496,0
"China","Republic of Korea",1326,0,0,0,148413,0,0,0
"United Kingdom","Philippines",1327,0,0,0,0,0,0,148196
"Spain","Venezuela (Bolivarian Republic of)",1328,0,0,0,0,148147,0,0
"China","Republic of Korea",1329,148141,0,0,0,0,0,0
"Australia","Greece",1330,148090,0,0,0,0,0,0
"Cameroon","Nigeria",1331,0,0,0,0,0,0,148076
"Costa Rica","Nicaragua",1332,0,0,0,148064,0,0,0
"Canada","Qatar",1333,0,0,0,0,0,0,147971
"Côte d'Ivoire","Guinea",1334,0,0,0,147939,0,0,0
"Nigeria","Togo",1335,0,0,0,0,0,147698,0
"United Kingdom","Jamaica",1336,0,0,0,0,147673,0,0
"Japan","Viet Nam",1337,0,0,0,0,0,146956,0
"United Kingdom","Portugal",1338,0,0,0,0,0,0,146879
"Canada","Jamaica",1339,0,0,0,0,0,0,146804
"Israel","Ukraine",1340,0,0,0,146749,0,0,0
"United Kingdom","Kenya",1341,0,0,0,0,146627,0,0
"United Kingdom","United States of America",1342,0,146271,0,0,0,0,0
"Hungary","Romania",1343,0,0,146208,0,0,0,0
"Belgium","Italy",1344,0,0,146188,0,0,0,0
"Malaysia","India",1345,0,0,0,0,0,0,146128
"Russian Federation","Germany",1346,0,0,0,145892,0,0,0
"United States of America","Israel",1347,0,0,0,0,0,0,145719
"Germany","Hungary",1348,0,0,0,0,0,145629,0
"South Sudan","Uganda",1349,0,0,0,0,0,145607,0
"Sweden","Finland",1350,0,0,0,0,0,0,145544
"United States of America","Ireland",1351,0,0,0,145477,0,0,0
"Zimbabwe","Mozambique",1352,0,0,0,145402,0,0,0
"Uganda","Sudan",1353,0,0,0,0,145366,0,0
"Qatar","Pakistan",1354,0,0,0,0,145204,0,0
"Belgium","France",1355,0,0,0,145202,0,0,0
"United States of America","Myanmar",1356,0,0,0,0,0,0,145165
"Canada","Puerto Rico",1357,0,0,0,0,0,145039,0
"Russian Federation","Germany",1358,144895,0,0,0,0,0,0
"Japan","Philippines",1359,0,0,144882,0,0,0,0
"Turkey","North Macedonia",1360,0,0,0,0,0,144544,0
"South Sudan","Uganda",1361,0,0,0,0,144466,0,0
"Canada","Germany",1362,0,0,0,0,0,144421,0
"United Republic of Tanzania","Mozambique",1363,144353,0,0,0,0,0,0
"Poland","Germany",1364,144229,0,0,0,0,0,0
"United States of America","Peru",1365,144199,0,0,0,0,0,0
"Ghana","Togo",1366,0,144121,0,0,0,0,0
"Algeria","Western Sahara",1367,0,0,0,0,143923,0,0
"France","Poland",1368,0,0,143793,0,0,0,0
"Bangladesh","Indonesia",1369,0,0,0,0,143647,0,0
"France","United Kingdom",1370,0,0,0,143491,0,0,0
"Australia","Malaysia",1371,0,0,0,0,0,143420,0
"Lebanon","Iraq",1372,0,0,0,0,143391,0,0
"United States of America","Ecuador",1373,143314,0,0,0,0,0,0
"Italy","Philippines",1374,0,0,0,0,0,143234,0
"Australia","Greece",1375,0,142981,0,0,0,0,0
"Honduras","Nicaragua",1376,142802,0,0,0,0,0,0
"United States of America","Venezuela (Bolivarian Republic of)",1377,0,0,0,142706,0,0,0
"Germany","Spain",1378,142457,0,0,0,0,0,0
"United Kingdom","Somalia",1379,0,0,0,0,0,142412,0
"Turkey","Iraq",1380,0,0,0,0,0,142392,0
"Turkey","North Macedonia",1381,0,0,0,0,142389,0,0
"Sudan","Eritrea",1382,0,0,0,0,142187,0,0
"United Kingdom","Sri Lanka",1383,0,0,0,0,0,142069,0
"Indonesia","Timor-Leste",1384,0,0,142028,0,0,0,0
"Russian Federation","Germany",1385,0,0,0,0,0,142026,0
"Russian Federation","Germany",1386,0,0,0,0,0,0,141992
"United Kingdom","Jamaica",1387,0,0,0,141923,0,0,0
"United Arab Emirates","Jordan",1388,0,0,0,0,141838,0,0
"United Kingdom","United States of America",1389,141818,0,0,0,0,0,0
"United States of America","Israel",1390,0,0,0,0,141567,0,0
"United Kingdom","Jamaica",1391,0,0,141559,0,0,0,0
"Sweden","Iraq",1392,0,0,0,0,0,0,141430
"China","Republic of Korea",1393,0,141332,0,0,0,0,0
"Côte d'Ivoire","Guinea",1394,0,0,141314,0,0,0,0
"Canada","Portugal",1395,0,0,0,141057,0,0,0
"Netherlands","Indonesia",1396,0,0,0,0,141028,0,0
"United Kingdom","Ghana",1397,0,0,0,0,0,0,140920
"Czechia","Slovakia",1398,0,0,140506,0,0,0,0
"Netherlands","Turkey",1399,140494,0,0,0,0,0,0
"United States of America","Thailand",1400,0,140211,0,0,0,0,0
"Canada","Suriname",1401,0,0,0,0,0,0,140066
"Ireland","Poland",1402,0,0,0,0,0,0,139986
"Kuwait","Pakistan",1403,0,0,139783,0,0,0,0
"Germany","Hungary",1404,0,0,0,0,139766,0,0
"Malaysia","India",1405,0,0,0,0,0,139752,0
"United Kingdom","Lithuania",1406,0,0,0,0,139497,0,0
"United Kingdom","Lithuania",1407,0,0,0,0,0,139497,0
"France","Poland",1408,0,139427,0,0,0,0,0
"United States of America","Romania",1409,0,0,139418,0,0,0,0
"Russian Federation","Germany",1410,0,0,0,0,139367,0,0
"Italy","India",1411,0,0,0,0,0,139115,0
"United Kingdom","Jamaica",1412,0,139059,0,0,0,0,0
"United Kingdom","Jamaica",1413,0,0,0,0,0,138924,0
"United Kingdom","Jamaica",1414,138898,0,0,0,0,0,0
"France","Viet Nam",1415,0,0,0,0,0,0,138552
"Canada","Portugal",1416,0,0,0,0,138520,0,0
"United States of America","Nigeria",1417,0,0,138366,0,0,0,0
"Singapore","Indonesia",1418,0,0,0,0,0,0,138338
"Turkey","North Macedonia",1419,0,0,0,138175,0,0,0
"Guinea","Liberia",1420,0,0,138141,0,0,0,0
"Canada","Qatar",1421,0,0,0,0,0,138083,0
"Germany","Netherlands",1422,0,0,0,0,0,0,137846
"Italy","Philippines",1423,0,0,0,0,137814,0,0
"Italy","Germany",1424,0,0,0,137808,0,0,0
"Italy","France",1425,0,0,0,0,137725,0,0
"Burundi","Democratic Republic of the Congo",1426,0,0,0,0,137611,0,0
"Democratic Republic of the Congo","South Sudan",1427,0,137306,0,0,0,0,0
"United States of America","Egypt",1428,0,0,0,0,137193,0,0
"Belgium","Netherlands",1429,0,0,0,0,0,0,137062
"United States of America","France",1430,0,137002,0,0,0,0,0
"Canada","Jamaica",1431,0,0,0,0,0,136994,0
"Singapore","Indonesia",1432,0,0,0,0,136979,0,0
"Australia","Sri Lanka",1433,0,0,0,0,0,0,136979
"Spain","Dominican Republic",1434,0,0,0,0,136976,0,0
