,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 1 -  International migrant stock at mid-year by sex and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019
20,Oceania,,909,,"4,731,848","5,022,287","5,361,231","6,023,412","7,127,680","8,069,944","8,927,925","2,415,611","2,535,461","2,676,393","2,987,798","3,539,110","4,005,312","4,425,192","2,316,237","2,486,826","2,684,838","3,035,614","3,588,570","4,064,632","4,502,733"
21,Sustainable Development Goal (SDG) regions,f,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
22,SUB-SAHARAN AFRICA,,947,,"13,286,341","14,275,437","13,151,229","14,222,466","15,855,936","21,337,333","23,573,485","7,048,417","7,514,093","6,939,992","7,621,682","8,388,536","11,232,028","12,386,026","6,237,924","6,761,344","6,211,237","6,600,784","7,467,400","10,105,305","11,187,459"
23,Eastern Africa,,910,,"5,959,183","4,977,644","4,847,119","4,762,817","4,757,899","6,716,524","7,908,176","3,069,356","2,563,827","2,483,905","2,535,451","2,413,116","3,386,950","3,965,291","2,889,827","2,413,817","2,363,214","2,227,366","2,344,783","3,329,574","3,942,885"
24,Burundi,,108,B R,"333,110","254,853","125,628","172,874","235,259","289,810","321,018","163,267","124,165","61,094","84,805","115,823","142,790","158,163","169,843","130,688","64,534","88,069","119,436","147,020","162,855"
25,Comoros,,174,B,"14,079","13,939","13,799","13,209","12,618","12,555","12,504","6,717","6,614","6,511","6,286","6,060","6,071","6,047","7,362","7,325","7,288","6,923","6,558","6,484","6,457"
26,Djibouti,,262,B R,"122,221","99,774","100,507","92,091","101,575","112,351","115,341","64,242","52,476","52,920","51,315","53,295","59,081","60,654","57,979","47,298","47,587","40,776","48,280","53,270","54,687"
27,Eritrea,,232,I,"11,848","12,400","12,952","14,314","15,676","15,941","16,101","6,228","6,542","6,856","7,729","8,603","8,833","8,922","5,620","5,858","6,096","6,585","7,073","7,108","7,179"
28,Ethiopia,,231,B R,"1,155,390","806,904","611,384","514,242","568,748","1,161,642","1,253,083","607,284","424,117","322,219","269,725","298,069","591,409","637,963","548,106","382,787","289,165","244,517","270,679","570,233","615,120"
29,Kenya,,404,B R,"298,089","618,745","707,852","773,354","954,925","1,126,886","1,044,854","161,259","322,189","352,933","400,364","473,093","562,909","522,321","136,830","296,556","354,919","372,990","481,832","563,977","522,533"
