,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,
,,,,"Table 5 - Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Annual rate of change of the migrant stock (both sexes),,,,,,Annual rate of change of the migrant stock (male),,,,,,Annual rate of change of the migrant stock (female),,,,,
,,,,,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
114,Afghanistan,,4,B,4.3,1.2,2.8,3.2,31.3,-29.6,3.7,1.8,2.8,3.2,29.2,-29.9,5.1,0.4,2.8,3.2,33.8,-29.3
115,Bangladesh,,50,B R,1.2,1.1,3.3,2.9,1.1,10.7,1.1,1.1,3.1,2.7,1.1,10.1,1.2,1.1,3.6,3.0,1.1,11.5
116,Bhutan,,64,B,3.2,2.8,4.5,3.7,1.1,1.0,3.2,2.8,4.5,3.6,2.0,1.0,3.2,2.8,4.8,3.9,-3.4,1.0
117,India,,356,B R,-1.8,-1.6,-1.6,-1.7,-0.7,-0.4,-1.9,-1.8,-1.6,-1.8,-0.8,-0.4,-1.6,-1.5,-1.5,-1.7,-0.7,-0.4
118,Iran (Islamic Republic of),,364,B R,-7.6,-0.9,-1.7,1.4,-0.3,-0.4,-7.3,-0.5,-3.3,2.2,-1.7,-0.4,-8.0,-1.5,0.3,0.5,1.5,-0.4
119,Maldives,,462,C,15.1,7.6,10.2,3.9,3.2,1.9,13.2,9.6,11.9,8.6,6.0,1.9,17.2,5.5,7.8,-6.6,-9.8,1.9
120,Nepal,,524,B R,9.5,0.8,-1.1,-3.2,-2.5,-0.9,10.9,2.2,-0.6,-4.3,-3.8,-1.3,8.8,0.1,-1.4,-2.6,-1.9,-0.8
121,Pakistan,,586,B R,-10.5,2.6,-5.5,4.3,-2.3,-1.8,-10.3,2.8,-5.5,3.9,-2.3,-1.8,-10.8,2.3,-5.6,4.9,-2.3,-1.8
122,Sri Lanka,,144,B R,-0.3,-0.4,-0.3,-0.3,0.4,0.2,-0.6,-0.6,-0.6,-0.6,0.0,0.2,0.0,0.0,0.1,0.1,0.7,0.2
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,4.0,4.6,4.2,3.9,2.5,0.6,3.6,4.2,4.3,4.1,2.7,0.7,4.4,5.0,4.0,3.8,2.3,0.4
124,Eastern Asia,,906,,3.2,3.0,2.9,2.5,1.6,1.5,2.6,2.3,2.8,2.5,1.7,1.6,3.7,3.7,2.9,2.5,1.5,1.4
125,China,9,156,C,3.2,2.8,5.8,4.5,2.8,1.3,3.0,2.6,8.0,5.7,3.4,1.3,3.5,2.9,3.3,2.8,1.9,1.3
126,"China, Hong Kong SAR",10,344,B,1.9,1.8,0.4,0.4,0.4,0.9,0.9,0.8,-0.7,-0.6,-0.5,0.5,3.0,2.6,1.2,1.2,1.0,1.1
127,"China, Macao SAR",11,446,B,1.9,1.4,3.0,2.6,3.3,1.5,1.5,1.1,3.5,2.3,3.5,1.5,2.2,1.6,2.5,2.9,3.2,1.5
128,Dem. People's Republic of Korea,,408,I,0.6,0.6,2.1,1.9,1.9,0.5,0.2,0.2,2.2,1.9,2.0,0.5,1.0,1.0,2.0,1.8,1.8,0.5
129,Japan,,392,C,4.7,4.3,3.5,1.2,0.9,2.8,4.7,3.2,3.1,0.9,1.5,3.5,4.8,5.3,3.9,1.5,0.3,2.2
130,Mongolia,,496,C,2.0,2.0,6.7,6.7,4.3,1.5,2.9,2.8,10.1,9.0,2.2,1.5,1.0,1.0,1.4,1.4,9.1,1.5
131,Republic of Korea,,410,C,21.0,13.6,13.8,12.8,4.3,0.4,21.3,14.1,13.7,12.3,4.0,0.4,20.7,12.9,13.8,13.4,4.8,0.5
132,South-Eastern Asia,,920,,5.0,6.5,5.5,5.1,3.3,-0.1,4.8,6.2,5.7,5.3,3.4,0.1,5.3,6.7,5.2,5.0,3.1,-0.4
133,Brunei Darussalam,,96,B,2.9,2.6,0.4,0.4,0.4,1.9,2.7,2.4,0.5,0.5,0.5,1.9,3.3,2.8,0.3,0.3,0.3,1.9
134,Cambodia,,116,B,17.5,9.2,-5.0,-6.6,-2.1,1.5,17.3,9.1,-4.4,-5.6,-1.7,1.5,17.8,9.3,-5.5,-7.6,-2.5,1.5
135,Indonesia,,360,B R,-4.1,-5.2,-0.2,1.1,2.0,1.1,-3.6,-4.5,1.5,1.1,2.4,1.1,-4.6,-6.0,-2.3,1.0,1.6,1.1
136,Lao People's Democratic Republic,,418,C R,0.6,-1.4,-1.5,9.6,6.5,1.5,0.7,-1.1,-1.1,12.2,7.5,1.5,0.5,-1.7,-1.9,6.1,4.7,1.5
137,Malaysia,12,458,C R,6.0,8.9,5.4,4.6,6.1,1.1,5.5,8.6,6.4,5.2,6.1,1.2,6.5,9.3,4.1,3.8,6.1,0.9
138,Myanmar,,104,C,-3.2,-3.0,-3.3,-1.7,-0.8,0.9,-3.2,-3.3,-3.2,-1.4,-0.7,0.9,-3.2,-2.6,-3.5,-2.0,-1.0,0.9
139,Philippines,,608,C R,5.9,8.6,-4.2,-4.2,0.3,0.8,5.6,8.2,-3.9,-4.2,0.3,0.8,6.3,9.0,-4.5,-4.2,0.3,0.8
140,Singapore,,702,B,6.2,6.2,4.7,4.7,3.2,-4.1,5.5,5.5,4.6,4.6,3.2,-4.2,6.8,6.8,4.8,4.8,3.2,-4.1
141,Thailand,,764,B R,8.5,8.8,10.8,8.0,1.6,1.0,8.2,8.4,10.3,8.1,1.5,1.0,8.9,9.3,11.4,7.9,1.6,1.0
142,Timor-Leste,,626,B,1.7,1.7,1.3,0.4,-6.1,-0.3,1.4,1.3,1.8,0.9,-2.5,-0.3,2.0,2.0,0.7,-0.0,-10.5,-0.3
143,Viet Nam,,704,C R,12.0,2.0,-1.8,3.5,3.3,1.1,12.3,3.0,-1.1,2.9,3.2,1.1,11.6,0.7,-2.9,4.4,3.4,1.1
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,-1.4,-0.4,1.9,2.7,2.7,5.3,-1.4,-0.4,1.8,2.7,2.8,5.3,-1.3,-0.3,2.0,2.7,2.5,5.3
145,Caribbean,,915,,1.7,1.7,1.0,0.2,2.3,0.6,1.5,1.5,0.9,0.2,3.2,0.6,1.8,1.8,1.1,0.3,1.4,0.5
146,Anguilla,,660,B,5.1,4.1,2.8,1.7,1.4,0.9,4.6,3.7,2.9,1.8,1.4,1.0,5.6,4.3,2.8,1.7,1.4,0.9
147,Antigua and Barbuda,,28,B,7.6,5.5,1.4,1.3,1.2,1.0,6.6,5.0,1.4,1.3,1.2,1.0,8.4,5.9,1.4,1.3,1.2,1.0
148,Aruba,,533,B,8.7,6.0,1.6,1.1,1.0,0.3,8.8,6.1,1.5,1.0,1.0,0.3,8.6,6.0,1.6,1.1,1.0,0.3
149,Bahamas,,44,B,3.3,2.8,4.5,3.7,1.6,1.5,3.7,3.1,3.9,3.3,1.5,1.5,2.9,2.5,5.1,4.0,1.7,1.5
150,Barbados,,52,B,1.8,1.6,1.5,1.4,1.0,0.2,2.2,2.0,1.8,1.7,1.0,0.2,1.4,1.3,1.2,1.2,1.0,0.2
151,British Virgin Islands,,92,B,4.5,5.1,2.9,2.6,2.3,2.1,4.0,4.8,3.0,2.6,2.3,2.1,5.0,5.4,2.9,2.6,2.3,2.1
152,"Bonaire, Sint Eustatius and Saba",13,535,B,1.9,1.7,6.0,3.0,2.6,4.4,1.7,1.6,6.3,6.3,2.6,4.4,2.0,1.9,5.7,1.9,2.5,4.4
153,Cayman Islands,,136,C,6.1,8.3,1.5,3.0,1.7,2.5,6.5,8.4,1.7,3.2,1.7,2.6,5.8,8.1,1.3,2.9,1.7,2.5
154,Cuba,,192,B,-5.5,-7.7,-8.0,-11.7,-4.5,-2.1,-6.4,-9.4,-8.0,-11.9,-4.7,-2.2,-4.7,-6.2,-8.0,-11.6,-4.3,-2.0
155,Curaçao,,531,B,..,..,..,..,1.7,2.1,..,..,..,..,1.7,2.1,..,..,..,..,1.6,2.1
156,Dominica,,212,B,4.3,3.5,4.8,10.7,-0.0,0.5,4.3,3.7,4.8,10.4,0.1,0.5,4.3,3.3,4.8,11.0,-0.2,0.5
157,Dominican Republic,,214,B,2.1,1.9,1.1,0.9,6.7,0.8,1.8,1.7,1.1,0.9,7.8,0.8,2.6,2.3,1.1,0.9,4.7,0.8
158,Grenada,,308,B,5.3,4.2,0.2,0.2,0.2,0.2,5.3,4.2,0.2,0.2,0.2,0.2,5.2,4.1,0.2,0.2,0.2,0.2
159,Guadeloupe,14,312,B,2.5,2.2,1.4,1.3,0.7,0.4,2.0,1.9,0.7,0.7,0.5,0.4,2.9,2.5,1.9,1.8,0.9,0.4
160,Haiti,,332,B,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
161,Jamaica,,388,B,2.1,1.9,-0.5,-0.5,-0.4,0.3,2.4,2.1,-0.4,-0.4,-0.4,0.3,1.8,1.6,-0.6,-0.7,-0.4,0.3
162,Martinique,,474,B,3.7,3.1,0.9,0.9,0.7,-0.0,3.1,2.7,0.3,0.3,0.5,-0.0,4.3,3.5,1.4,1.3,0.9,-0.0
163,Montserrat,,500,B,-4.4,-5.7,0.5,0.7,0.9,0.4,-4.4,-5.6,0.5,0.8,0.9,0.5,-4.5,-5.8,0.5,0.7,0.9,0.4
164,Puerto Rico,,630,B,1.0,1.0,-0.2,-2.9,-1.7,-1.2,0.9,0.9,-0.2,-3.1,-1.8,-1.4,1.0,1.0,-0.1,-2.7,-1.6,-1.2
165,Saint Kitts and Nevis,,659,B,5.6,6.5,2.6,1.6,0.5,0.5,5.8,6.7,2.6,1.7,0.6,0.5,5.4,6.2,2.5,1.6,0.5,0.5
166,Saint Lucia,,662,B,6.0,6.4,-0.1,-1.7,-0.9,-0.9,6.2,6.6,-0.5,-2.0,-0.9,-0.9,5.8,6.3,0.4,-1.3,-0.8,-0.8
167,Saint Vincent and the Grenadines,,670,B,0.8,0.8,0.6,0.6,0.3,0.3,0.8,0.9,0.9,0.9,0.5,0.5,0.8,0.8,0.3,0.3,0.1,0.1
168,Sint Maarten (Dutch part),,534,B,..,..,..,..,0.8,0.9,..,..,..,..,0.8,0.9,..,..,..,..,0.8,0.9
169,Trinidad and Tobago,,780,B,-1.9,-1.9,1.4,1.5,0.7,4.2,-2.0,-2.0,1.4,2.3,1.1,4.4,-1.9,-1.9,1.5,0.7,0.4,4.1
170,Turks and Caicos Islands,,796,B,6.6,4.9,7.5,5.4,5.5,1.9,6.6,4.9,7.5,5.4,5.5,1.9,6.6,5.0,7.5,5.4,5.5,1.9
171,United States Virgin Islands,,850,B,0.9,0.9,0.0,0.0,0.0,0.0,0.7,0.7,-0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
172,Central America,,916,,-6.9,-3.2,4.5,4.7,1.4,0.6,-6.8,-3.0,4.4,4.7,1.3,0.7,-6.9,-3.4,4.5,4.7,1.5,0.6
173,Belize,,84,B R ,1.9,1.7,2.5,2.3,3.3,2.3,1.3,1.2,2.4,2.2,3.2,2.3,2.6,2.3,2.6,2.3,3.4,2.3
174,Costa Rica,,188,B R,-2.7,-3.2,2.8,2.5,0.3,0.4,-2.8,-3.3,2.3,2.1,0.2,0.5,-2.7,-3.1,3.3,2.8,0.4,0.2
175,El Salvador,,222,B R,-3.6,-4.4,2.5,2.3,0.8,0.3,-3.6,-4.4,2.7,2.3,0.9,0.3,-3.6,-4.4,2.4,2.2,0.8,0.3
176,Guatemala,,320,B R,-10.5,-23.5,3.5,3.0,3.3,0.7,-10.4,-23.0,4.1,3.4,3.7,0.7,-10.6,-24.0,3.0,2.6,3.0,0.7
177,Honduras,,340,B R,-11.9,-33.2,-0.4,-0.4,6.8,0.4,-11.8,-33.0,-0.2,-0.2,6.8,0.4,-11.9,-33.3,-0.7,-0.7,6.8,0.4
178,Mexico,,484,B R,-8.3,3.2,5.6,6.2,1.2,0.8,-8.3,3.3,5.7,6.2,1.0,0.8,-8.3,3.1,5.6,6.1,1.4,0.8
179,Nicaragua,,558,B R,-8.8,2.6,2.8,1.3,1.5,1.2,-8.9,2.9,2.8,1.5,1.6,1.2,-8.8,2.4,2.7,1.2,1.4,1.2
180,Panama,,591,B,2.4,3.3,6.9,5.8,3.2,0.0,2.1,2.9,6.9,6.0,3.2,-0.1,2.8,3.7,6.9,5.6,3.3,0.2
181,South America,,931,,-0.2,-0.1,1.4,2.7,3.2,7.6,-0.3,-0.2,1.3,2.7,3.2,7.7,-0.0,0.0,1.5,2.7,3.1,7.4
182,Argentina,,32,B,-0.7,-0.7,1.7,1.5,2.9,1.5,-0.9,-1.0,1.5,1.4,2.9,1.5,-0.5,-0.5,1.8,1.6,2.9,1.5
183,Bolivia (Plurinational State of),,68,B,2.5,2.1,3.0,2.6,3.0,2.2,2.6,2.2,3.2,2.8,3.0,2.2,2.4,2.0,2.8,2.4,3.0,2.2
184,Brazil,,76,B,-1.5,-1.6,-1.4,-1.5,3.8,3.0,-1.5,-1.6,-1.3,-1.4,3.8,3.0,-1.5,-1.6,-1.5,-1.6,3.8,3.0
185,Chile,,152,B,5.6,4.4,8.9,6.1,10.7,9.6,4.9,3.9,8.8,6.1,10.5,9.6,6.4,4.8,9.0,6.2,10.8,9.6
186,Colombia,,170,B,0.5,0.5,-0.4,2.9,2.3,52.6,0.6,0.6,-0.2,3.3,2.4,51.3,0.4,0.4,-0.6,2.4,2.1,54.1
187,Ecuador,,218,B R,7.6,5.5,4.3,11.0,3.5,-0.4,8.1,5.8,4.4,11.1,3.5,-0.4,7.1,5.2,4.1,10.9,3.4,-0.4
188,Falkland Islands (Malvinas),15,238,B,0.3,4.1,1.8,4.2,1.8,4.8,0.9,4.4,1.2,3.6,1.6,4.8,-0.5,3.7,2.6,5.0,2.1,4.8
189,French Guiana,,254,B,2.0,1.8,2.4,2.2,1.9,2.5,1.1,1.1,1.9,1.7,1.6,2.5,2.9,2.5,2.9,2.6,2.3,2.5
190,Guyana,,328,B,8.8,6.1,4.7,3.8,3.2,0.5,8.7,6.1,4.6,3.8,3.2,0.5,8.8,6.1,4.7,3.8,3.2,0.5
191,Paraguay,,600,B,-1.0,-1.1,-1.0,-1.0,-0.5,0.6,-1.0,-1.2,-1.0,-1.0,-0.5,0.6,-1.0,-1.0,-1.0,-0.9,-0.5,0.6
192,Peru,,604,B,0.0,3.1,3.2,5.9,7.8,40.5,-0.2,3.1,3.4,7.3,9.7,38.5,0.3,3.1,3.0,4.4,5.4,43.2
193,Suriname,,740,C,4.2,4.2,4.0,3.3,1.6,1.7,4.3,4.2,4.1,3.3,1.7,1.7,4.1,4.1,4.0,3.3,1.6,1.7
194,Uruguay,,858,B,-1.0,-1.0,-1.5,-1.5,0.6,0.8,-1.1,-1.1,-1.7,-1.7,0.6,0.9,-0.9,-0.9,-1.4,-1.3,0.7,0.8
195,Venezuela (Bolivarian Republic of),,862,B,-0.1,-0.1,1.2,4.5,0.8,-0.5,-0.2,-0.2,1.1,4.6,0.8,-0.6,-0.0,-0.1,1.3,4.4,0.9,-0.4
196,OCEANIA,,909,,1.2,1.3,2.3,3.4,2.5,2.5,1.0,1.1,2.2,3.4,2.5,2.5,1.4,1.5,2.5,3.3,2.5,2.6
197,Australia / New Zealand,,927,,1.2,1.3,2.4,3.6,2.6,2.6,1.0,1.1,2.3,3.6,2.6,2.6,1.4,1.5,2.5,3.5,2.6,2.6
198,Australia,16,36,B,1.0,1.1,2.1,3.7,2.7,2.9,0.8,0.9,2.0,3.8,2.7,2.8,1.2,1.3,2.3,3.7,2.7,2.9
199,New Zealand,,554,B,2.6,2.9,4.3,2.4,1.9,0.7,2.3,2.6,4.2,2.4,1.8,0.7,2.8,3.1,4.3,2.4,1.9,0.7
200,Melanesia,,928,,1.2,-0.3,1.8,1.2,1.5,0.9,1.3,-0.4,1.7,1.3,1.2,0.8,1.1,-0.2,1.8,1.2,1.9,0.9
201,Fiji,,242,B,-0.4,-0.4,-0.5,1.4,0.6,0.5,-0.4,-0.4,-0.1,1.7,0.8,0.5,-0.5,-0.5,-0.8,1.1,0.4,0.5
202,New Caledonia,,540,B,3.0,2.6,2.2,2.0,2.4,1.3,2.7,2.4,2.1,1.9,1.9,1.2,3.3,2.8,2.3,2.1,2.9,1.4
203,Papua New Guinea,,598,C R,-0.1,-4.9,2.7,0.2,0.3,0.2,0.5,-4.5,2.4,0.6,0.3,0.3,-0.9,-5.4,3.1,-0.4,0.4,0.1
204,Solomon Islands,,90,B,-0.2,-1.0,-3.9,-3.4,-1.3,-0.5,-0.2,-0.9,-3.9,-3.4,-1.3,-0.5,-0.3,-1.0,-4.0,-3.4,-1.3,-0.5
205,Vanuatu,,548,B,1.3,1.3,1.3,1.3,1.3,0.5,0.4,0.4,1.1,1.2,1.3,0.5,2.3,2.3,1.4,1.4,1.3,0.4
206,Micronesia,,954,,1.7,1.8,-0.3,-2.2,-0.3,1.0,0.7,0.6,-0.4,-1.9,-0.2,0.9,2.9,3.2,-0.2,-2.5,-0.4,1.0
207,Guam,,316,B,0.6,0.6,0.2,0.2,0.2,1.2,-0.3,-0.3,0.2,0.2,0.2,1.2,1.7,1.6,0.2,0.2,0.2,1.2
208,Kiribati,,296,B,0.6,0.5,1.7,2.9,0.4,0.9,0.6,0.8,2.0,2.8,0.4,0.9,0.5,0.2,1.4,2.9,0.4,0.9
209,Marshall Islands,,584,B,4.9,4.9,4.9,4.9,1.2,0.1,4.8,4.8,4.9,4.9,1.2,0.1,5.1,5.1,5.0,5.0,1.3,0.1
210,Micronesia (Fed. States of),,583,B,-2.0,-1.4,-1.4,-0.7,-0.4,0.6,0.2,-4.2,-1.9,-0.8,-0.4,0.6,-5.2,2.6,-0.8,-0.6,-0.3,0.5
211,Nauru,,520,C,-1.6,-1.7,-1.2,-12.9,9.4,2.8,-1.5,-1.7,-1.2,-12.3,9.9,3.0,-1.6,-1.7,-1.2,-13.6,8.7,2.6
212,Northern Mariana Islands,,580,B,3.9,4.3,-1.3,-8.8,-2.2,0.2,2.1,1.9,-1.7,-8.9,-2.3,0.2,5.9,6.4,-1.1,-8.7,-2.1,0.2
213,Palau,,585,B,10.6,5.7,-0.9,-1.9,-2.1,0.6,8.9,6.6,-1.5,-2.4,-1.4,-1.0,13.2,4.3,0.1,-1.2,-3.2,3.0
214,Polynesia,17,957,,2.1,1.7,0.6,-0.4,-1.1,0.3,1.9,1.5,0.4,-0.5,-1.2,0.3,2.3,2.0,0.9,-0.3,-1.1,0.2
215,American Samoa,,16,B,1.6,1.5,-0.6,-0.6,-0.0,0.0,1.5,1.4,-0.6,-0.7,-0.2,0.0,1.8,1.7,-0.5,-0.5,0.1,0.0
216,Cook Islands,,184,B,0.8,0.7,3.3,2.8,-1.6,0.1,0.7,0.7,2.1,1.9,-1.7,0.1,0.8,0.7,4.6,3.8,-1.5,0.1
217,French Polynesia,,258,B,1.9,1.3,1.3,-0.4,-1.0,0.9,1.6,1.1,0.9,-0.4,-1.0,0.9,2.3,1.7,1.7,-0.4,-1.0,0.9
218,Niue,,570,B,0.8,0.7,0.9,2.4,-0.0,0.0,1.0,0.8,1.0,2.5,0.0,0.0,0.6,0.6,0.9,2.4,-0.1,0.0
219,Samoa,,882,B,6.7,4.9,-0.9,-2.3,-3.7,-1.3,6.5,4.7,-1.1,-2.5,-3.8,-1.3,6.9,5.1,-0.6,-2.1,-3.7,-1.3
220,Tokelau,,772,B,-0.3,-0.3,-0.3,10.2,2.5,0.9,-0.4,-0.4,-1.6,8.8,2.5,0.9,-0.2,-0.2,1.2,11.6,2.6,0.8
221,Tonga,,776,B,2.4,2.4,3.1,1.4,-3.0,-1.3,2.9,2.8,3.2,1.5,-2.9,-1.3,1.8,1.8,3.0,1.2,-3.2,-1.3
222,Tuvalu,,798,C,-3.8,-3.8,-0.8,1.0,0.9,0.9,-3.9,-4.0,-1.0,1.0,0.8,1.0,-3.6,-3.4,-0.6,1.0,1.0,0.7
223,Wallis and Futuna Islands,,876,B,3.9,3.4,1.7,-6.0,-8.7,-0.7,3.7,3.1,1.7,-6.0,-8.7,-0.7,4.2,3.6,1.7,-6.0,-8.7,-0.7
224,EUROPE AND NORTHERN AMERICA,,1829,,2.3,2.3,2.3,2.2,1.4,1.9,2.4,2.3,2.3,2.0,1.3,2.0,2.3,2.2,2.2,2.4,1.6,1.8
225,EUROPE,,917,,1.5,1.2,2.2,2.1,1.2,2.3,1.4,1.2,2.2,2.1,1.0,2.7,1.6,1.3,2.2,2.2,1.3,2.0
226,Eastern Europe,,923,,-0.6,-0.9,-0.7,-0.7,0.8,0.5,-0.4,-0.6,-0.7,-0.7,0.8,0.6,-0.8,-1.1,-0.7,-0.6,0.7,0.5
227,Belarus,,112,B,-1.0,-1.1,-0.3,-0.3,-0.1,-0.3,-1.0,-1.1,-0.3,-0.3,-0.1,-0.3,-1.0,-1.1,-0.3,-0.3,-0.1,-0.3
228,Bulgaria,,100,B,8.2,5.8,6.9,4.4,9.7,7.7,8.2,5.8,7.5,4.8,11.5,8.0,8.2,5.8,6.3,4.2,8.1,7.4
229,Czechia,,203,C,8.1,5.8,7.6,4.2,0.9,5.2,8.6,6.0,8.4,5.2,0.3,5.1,7.5,5.5,6.5,2.8,1.8,5.3
230,Hungary,,348,B R,-1.5,-1.6,4.2,3.5,1.7,1.9,-1.2,-1.3,4.6,3.8,2.3,1.9,-1.8,-2.0,3.9,3.2,1.1,1.8
231,Poland,,616,B,-3.1,-3.1,-2.7,-2.3,-0.7,1.4,-3.5,-3.6,-2.6,-2.5,-0.2,2.7,-2.8,-2.8,-2.7,-2.3,-1.1,0.5
232,Republic of Moldova,18,498,B,-7.9,-7.9,-7.4,-5.6,-3.9,-0.4,-8.5,-8.6,-8.0,-5.3,-3.7,-0.4,-7.4,-7.4,-7.0,-5.8,-4.1,-0.4
233,Romania,,642,B,-0.1,-0.1,1.6,4.0,9.2,12.5,1.0,0.9,2.1,4.5,10.3,13.2,-1.0,-1.0,1.1,3.5,8.1,11.6
234,Russian Federation,,643,B,0.7,-0.0,-0.4,-0.8,0.8,-0.0,0.9,0.2,-0.6,-1.0,0.7,-0.0,0.5,-0.3,-0.2,-0.6,0.9,-0.0
235,Slovakia,,703,B,10.4,10.4,2.3,2.3,3.9,1.4,10.4,10.4,2.7,2.6,5.7,1.9,10.4,10.4,1.9,2.0,2.2,0.9
236,Ukraine,19,804,B,-2.2,-2.2,-1.8,-0.9,0.4,0.2,-2.2,-2.2,-1.8,-0.9,0.4,0.2,-2.2,-2.2,-1.8,-1.0,0.4,0.2
237,Northern Europe,,924,,1.6,1.9,3.9,3.4,3.1,3.2,1.4,1.7,4.1,3.6,3.1,3.4,1.8,2.0,3.6,3.1,3.2,3.0
238,Channel Islands,20,830,B,-0.4,1.2,2.0,1.8,1.2,0.5,-0.4,1.2,2.1,1.9,1.2,0.5,-0.4,1.2,1.8,1.7,1.1,0.5
239,Denmark,,208,B,5.1,4.0,3.4,2.6,3.5,4.8,5.0,4.0,3.4,2.5,3.7,5.1,5.1,4.1,3.5,2.6,3.3,4.6
240,Estonia,,233,B,-3.8,-4.7,-1.3,-1.4,-2.3,-0.6,-4.6,-6.0,-1.4,-1.5,-1.8,0.2,-3.2,-3.8,-1.3,-1.4,-2.6,-1.1
241,Faroe Islands,,234,B,-7.8,4.3,4.9,2.1,1.5,4.1,-8.8,4.0,4.9,1.9,0.6,4.2,-6.6,4.7,4.9,2.3,2.4,4.0
242,Finland,21,246,B,9.1,6.2,6.9,3.5,6.4,4.9,9.0,6.2,7.1,3.5,6.5,5.2,9.3,6.3,6.6,3.4,6.3,4.6
243,Iceland,,352,B,5.7,4.4,9.5,6.4,2.1,7.3,6.0,4.6,10.9,7.0,1.6,9.2,5.5,4.3,8.2,5.8,2.7,5.4
244,Ireland,,372,B,-0.1,8.7,10.4,4.3,0.8,2.3,-0.7,9.4,11.7,3.0,0.9,2.4,0.5,8.0,9.0,5.6,0.7,2.3
245,Isle of Man,,833,B,1.2,1.1,1.2,0.9,-0.6,0.4,1.4,1.3,1.5,1.1,-0.7,0.4,1.0,0.9,0.9,0.8,-0.4,0.4
246,Latvia,,428,B,-3.7,-4.5,-2.7,-3.7,-3.3,-2.8,-4.3,-5.5,-2.8,-4.3,-3.6,-2.7,-3.1,-3.7,-2.6,-3.2,-3.2,-2.9
247,Lithuania,,440,B,-4.9,-4.9,-1.3,-4.5,-3.3,-3.7,-4.9,-4.9,-1.3,-6.0,-3.8,-3.9,-4.8,-4.8,-1.2,-3.2,-3.0,-3.6
248,Norway,22,578,B,3.8,4.5,4.2,7.6,7.0,3.8,3.3,4.2,3.9,8.4,7.4,3.7,4.4,4.8,4.5,6.7,6.5,3.8
249,Sweden,,752,B,3.4,1.4,2.3,4.1,3.8,4.5,3.3,1.3,2.3,4.5,4.1,4.9,3.6,1.5,2.3,3.8,3.5,4.0
250,United Kingdom,,826,B,2.6,2.6,4.5,3.7,3.3,3.2,2.4,2.4,4.7,4.1,3.1,3.2,2.8,2.8,4.3,3.3,3.6,3.1
251,Southern Europe,,925,,7.2,4.2,8.9,6.0,-0.5,1.1,7.2,4.4,9.2,5.9,-1.2,1.0,7.2,4.0,8.6,6.1,0.1,1.1
252,Albania,,8,B,1.6,1.4,-3.4,-4.1,-0.3,-1.4,1.7,1.6,-1.7,-4.1,-0.3,-1.4,1.4,1.3,-5.0,-4.1,-0.3,-1.4
253,Andorra,,20,C,2.6,-1.0,3.5,0.7,-4.2,1.6,2.3,-1.3,3.6,0.6,-4.8,1.8,2.8,-0.6,3.5,0.8,-3.5,1.4
254,Bosnia and Herzegovina,,70,I R,4.3,3.5,-11.2,-4.0,-0.1,-1.9,4.4,3.6,-11.4,-3.9,-0.1,-2.0,4.2,3.5,-11.1,-4.0,-0.1,-1.9
255,Croatia,,191,B R,7.0,-2.8,-0.2,-0.2,-0.4,-2.0,7.0,-2.8,-0.2,-0.2,-0.6,-2.1,7.0,-2.9,-0.2,-0.2,-0.3,-1.9
256,Gibraltar,,292,B,-0.8,-0.8,2.7,2.4,1.3,0.2,-1.5,-1.6,3.1,2.7,1.6,0.2,0.0,0.0,2.3,2.0,1.0,0.2
257,Greece,,300,B,6.6,5.2,1.4,2.1,-1.2,-0.6,6.0,4.6,1.0,1.7,-2.3,-0.5,7.2,5.8,1.8,2.4,-0.2,-0.8
258,Holy See,23,336,I,0.3,0.1,0.3,-0.1,0.2,-0.1,0.2,0.0,0.1,-0.3,0.1,-0.2,0.5,0.2,0.5,0.1,0.4,-0.1
