,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,
,,,,"Table 5 - Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Annual rate of change of the migrant stock (both sexes),,,,,,Annual rate of change of the migrant stock (male),,,,,,Annual rate of change of the migrant stock (female),,,,,
,,,,,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
29,Kenya,,404,B R,14.6,2.7,1.8,4.2,3.3,-1.9,13.8,1.8,2.5,3.3,3.5,-1.9,15.5,3.6,1.0,5.1,3.1,-1.9
30,Madagascar,,450,C,-2.4,2.1,2.0,2.1,2.1,2.1,-2.3,2.2,2.1,2.1,2.1,2.1,-2.6,2.0,1.9,2.0,2.0,2.1
31,Malawi,,454,B R,-30.8,-0.8,-1.0,-0.4,1.3,1.5,-31.0,-0.8,-1.0,-0.4,1.3,1.5,-30.7,-0.7,-0.9,-0.3,1.4,1.6
32,Mauritius,1,480,C,14.6,14.6,4.7,4.7,2.8,0.2,12.1,11.4,9.0,7.8,3.7,0.2,16.7,16.7,1.7,1.7,1.8,0.2
33,Mayotte,,175,B,10.9,10.9,6.6,2.8,0.3,0.2,10.3,9.5,5.7,1.9,-0.2,0.2,11.8,12.7,7.4,3.7,0.8,0.2
34,Mozambique,,508,B R,6.4,3.0,6.0,2.9,1.0,1.0,6.5,2.5,4.3,2.9,1.0,1.0,6.3,3.7,7.8,2.9,1.0,1.0
35,Réunion,,638,B,6.0,5.3,2.7,1.3,0.7,0.4,5.6,5.0,2.5,1.2,0.6,0.4,6.4,5.7,2.9,1.5,0.8,0.4
36,Rwanda,,646,B R,6.0,9.5,4.0,0.2,3.7,1.2,6.1,9.4,3.9,0.1,3.6,1.3,5.8,9.6,4.1,0.3,3.9,1.1
37,Seychelles,,690,B,6.5,4.9,6.3,4.8,2.3,0.3,6.3,4.8,8.3,5.9,2.7,0.3,6.8,5.0,3.0,2.6,1.2,0.3
38,Somalia,,706,I R,-64.0,0.6,0.6,16.9,-3.2,6.0,-63.4,0.7,0.8,16.5,-3.1,5.8,-64.6,0.5,0.3,17.3,-3.3,6.3
39,South Sudan,,728,B R,..,..,..,..,23.7,0.6,..,..,..,..,23.6,0.6,..,..,..,..,23.9,0.6
40,Uganda,,800,B R,2.2,-0.8,0.3,-3.7,10.9,17.8,1.7,-1.2,0.1,-3.8,10.8,17.5,2.7,-0.4,0.5,-3.6,11.0,18.1
41,United Republic of Tanzania,2,834,B R,13.1,-3.1,-4.2,-18.2,4.3,7.0,13.2,-2.5,0.2,-22.9,4.2,6.9,13.1,-3.6,-10.0,-12.1,4.5,7.1
42,Zambia,,894,B R,-2.7,6.8,-6.1,-10.5,-2.5,6.3,-2.6,6.7,-6.2,-10.5,-2.6,6.4,-2.7,7.0,-6.1,-10.4,-2.5,6.3
43,Zimbabwe,,716,B R,-7.7,-1.0,-0.4,-0.2,0.1,0.7,-7.4,-1.0,-0.4,-0.2,-0.1,0.9,-8.1,-1.0,-0.4,-0.2,0.4,0.4
44,Middle Africa,,911,,12.0,-8.1,2.0,4.3,7.3,2.0,12.0,-7.9,1.8,4.2,7.9,2.2,12.0,-8.4,2.1,4.4,6.6,1.8
45,Angola,,24,B R,3.4,2.9,5.7,33.8,12.9,1.4,2.7,2.4,5.2,33.4,12.8,2.9,4.3,3.5,6.3,34.2,12.9,0.0
46,Cameroon,,120,B,-1.7,-1.5,3.1,1.9,11.1,-0.1,-1.7,-1.5,3.3,2.0,8.8,-0.1,-1.6,-1.4,2.9,1.7,13.6,-0.1
47,Central African Republic,,140,C,7.9,4.3,-5.4,-0.2,-2.7,2.6,7.9,4.3,-5.3,-0.2,-2.8,2.7,7.9,4.3,-5.4,-0.2,-2.6,2.6
48,Chad,,148,B R,3.7,3.1,24.2,3.4,2.3,2.3,3.7,3.1,20.8,3.1,2.9,2.3,3.8,3.2,27.6,3.6,1.8,2.3
49,Congo,,178,B,7.9,9.4,0.8,5.8,-1.7,0.8,8.0,9.4,2.5,5.8,-1.6,0.7,7.7,9.3,-1.0,5.8,-1.9,0.8
50,Democratic Republic of the Congo,,180,B R,17.6,-17.8,-3.6,-1.1,6.7,3.9,18.2,-18.1,-3.8,-1.2,6.9,3.6,17.0,-17.6,-3.4,-1.0,6.6,4.1
51,Equatorial Guinea,,226,C,5.6,4.4,7.5,5.5,63.7,2.1,5.5,4.3,8.0,5.7,70.6,2.1,5.7,4.5,7.1,5.2,50.1,2.1
52,Gabon,,266,C,5.8,4.5,1.7,2.9,6.7,2.1,5.8,4.6,1.9,3.2,8.6,2.1,5.8,4.3,1.5,2.6,3.7,2.1
53,Sao Tome and Principe,,678,C,-2.5,-2.5,-4.8,-4.8,-2.4,-2.4,-3.0,-2.8,-5.0,-4.9,-2.4,-2.5,-1.9,-2.1,-4.7,-4.7,-2.4,-2.4
54,Southern Africa,,913,,-3.0,1.1,4.4,7.9,10.9,2.5,-3.2,0.7,4.0,7.9,10.2,2.5,-2.7,1.5,5.1,7.9,11.8,2.4
55,Botswana,,72,B,7.6,12.5,2.4,2.2,1.8,1.7,6.9,12.5,2.3,1.8,1.7,1.7,8.5,12.5,2.6,2.8,1.8,1.7
56,Eswatini,,748,B R,-15.2,-0.6,-0.4,-0.5,-0.2,-0.0,-15.2,-0.9,-0.6,-0.7,-0.2,-0.1,-15.1,-0.4,-0.2,-0.2,-0.2,0.0
57,Lesotho,,426,C R,-2.7,-3.1,0.4,0.4,0.5,1.3,-2.4,-2.8,0.4,0.4,0.5,1.3,-3.0,-3.5,0.4,0.4,0.5,1.3
58,Namibia,,516,B,-0.9,3.2,-4.7,-0.7,-0.4,1.4,-0.8,3.5,-4.8,-0.6,-0.4,1.4,-1.0,2.9,-4.5,-0.7,-0.5,1.4
59,South Africa,,710,B R,-3.0,0.3,5.7,9.0,11.8,2.5,-3.2,-0.1,5.1,8.9,11.0,2.6,-2.6,0.8,6.6,9.0,12.8,2.5
60,Western Africa,,914,,3.9,-0.6,2.4,1.3,2.2,1.1,3.7,-0.6,2.5,1.3,2.1,1.1,4.1,-0.7,2.1,1.3,2.5,1.2
61,Benin,,204,C B R,6.4,4.8,10.0,6.6,3.4,1.6,6.6,5.0,8.0,5.7,3.6,1.6,6.1,4.7,12.0,7.5,3.2,1.5
62,Burkina Faso,,854,B R,5.7,2.3,2.8,2.4,0.9,0.5,5.7,2.3,2.6,2.3,0.9,0.5,5.6,2.3,2.9,2.5,0.9,0.5
63,Cabo Verde,,132,B,2.2,2.0,2.8,2.5,0.8,1.2,2.8,2.4,2.5,2.2,0.7,1.2,1.6,1.5,3.2,2.7,0.8,1.2
64,Côte d'Ivoire,,384,C B,2.7,0.8,0.9,0.9,0.8,0.8,2.6,0.8,0.9,0.9,0.8,0.8,2.8,0.8,0.9,0.9,0.8,0.8
65,Gambia,,270,B,4.9,3.8,-0.1,0.4,0.7,2.8,4.3,3.4,-0.2,0.4,0.7,2.8,5.7,4.3,0.1,0.5,0.8,2.8
66,Ghana,,288,B,8.6,-5.5,9.3,2.0,4.2,3.0,8.6,-5.4,9.5,2.7,4.1,3.0,8.5,-5.7,9.0,1.3,4.2,2.9
67,Guinea,,324,C B R,13.0,-6.5,-17.8,-5.1,-6.8,-1.2,13.1,-6.5,-18.3,-3.7,-4.5,-1.2,13.0,-6.5,-17.4,-6.5,-9.7,-1.2
68,Guinea-Bissau,,624,B R,12.0,-6.3,0.3,0.3,1.2,4.7,11.7,-6.2,0.3,0.0,1.0,4.6,12.2,-6.3,0.3,0.6,1.4,4.8
69,Liberia,,430,B,15.7,-6.3,-11.1,2.6,2.8,-4.7,14.6,-6.1,-9.5,2.1,2.6,-4.7,17.2,-6.6,-13.2,3.2,2.9,-4.7
70,Mali,,466,B R,1.8,1.5,6.1,5.6,4.3,2.7,2.0,1.5,6.0,5.3,4.3,2.7,1.6,1.4,6.1,5.9,4.3,2.7
71,Mauritania,,478,C R,-4.4,-8.9,0.3,7.5,13.5,0.9,-4.1,-8.2,0.9,8.0,13.2,1.0,-4.8,-9.7,-0.5,6.9,14.0,0.9
72,Niger,,562,B R,4.7,-3.5,0.4,0.3,13.9,3.8,4.7,-3.6,0.3,0.3,13.8,3.8,4.7,-3.5,0.4,0.3,13.9,3.8
73,Nigeria,,566,C R,0.3,1.0,13.7,0.4,3.9,1.2,0.1,0.9,14.7,0.4,2.7,1.2,0.4,1.2,12.4,0.4,5.4,1.2
74,Saint Helena,3,654,C,-8.4,-1.6,8.2,8.4,8.4,3.5,-9.0,-2.8,6.6,9.4,12.3,4.6,-7.4,0.0,10.1,7.2,2.4,1.0
75,Senegal,,686,B R,1.2,-4.3,0.5,1.4,0.8,0.8,1.2,-3.8,0.5,1.7,0.8,0.8,1.3,-4.8,0.5,1.2,0.8,0.8
76,Sierra Leone,,694,B R,-16.3,-0.1,8.0,-12.3,-5.9,-2.0,-15.7,-0.6,6.9,-11.3,-5.5,-1.8,-16.9,0.6,9.2,-13.4,-6.4,-2.2
77,Togo,,768,C R,3.6,6.1,7.8,4.5,1.7,0.2,3.4,6.2,8.0,4.5,1.5,0.3,3.9,6.1,7.6,4.5,1.8,0.0
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,1.4,1.4,2.7,6.7,5.1,3.6,1.7,1.8,3.5,7.7,5.0,3.6,1.0,1.0,1.5,5.0,5.3,3.6
79,Northern Africa,,912,,-2.9,-1.8,-1.7,2.2,1.9,8.1,-2.1,-0.9,-0.2,2.0,2.0,6.8,-3.7,-2.9,-3.7,2.5,1.7,9.8
80,Algeria,,12,B R,-0.9,-0.9,-4.7,1.9,2.0,1.0,-0.9,-0.9,-4.7,1.2,2.0,1.0,-0.9,-0.9,-4.7,2.7,2.0,1.0
