,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,,,,,,,,
53,Sao Tome and Principe,,678,C,47.1,48.4,49.3,49.7,49.9,50.0,50.1,,,,,,,,
54,Southern Africa,,913,,39.7,40.2,41.2,42.5,42.5,44.4,44.4,,,,,,,,
55,Botswana,,72,B,39.6,41.5,41.5,41.9,43.1,43.1,43.1,,,,,,,,
56,Eswatini,,748,B R,46.8,46.8,47.4,48.0,48.6,48.6,48.7,,,,,,,,
57,Lesotho,,426,C R,47.6,46.9,45.9,45.9,45.9,45.9,45.9,,,,,,,,
58,Namibia,,516,B,47.2,46.9,46.0,46.3,46.3,46.1,46.1,,,,,,,,
59,South Africa,,710,B R,38.4,39.1,40.3,42.1,42.2,44.4,44.4,,,,,,,,
60,Western Africa,,914,,46.5,47.1,46.9,46.4,46.4,46.9,46.9,,,,,,,,
61,Benin,,204,C B R,47.3,46.7,46.4,51.4,53.6,53.0,52.9,,,,,,,,
62,Burkina Faso,,854,B R,52.0,51.9,51.8,52.2,52.4,52.4,52.4,,,,,,,,
63,Cabo Verde,,132,B,50.4,49.0,47.8,48.6,49.3,49.4,49.4,,,,,,,,
64,Côte d'Ivoire,,384,C B,44.3,44.6,44.6,44.6,44.6,44.6,44.6,,,,,,,,
65,Gambia,,270,B,43.9,45.6,46.8,47.1,47.2,47.3,47.3,,,,,,,,
66,Ghana,,288,B,49.6,49.6,49.2,48.5,46.7,46.7,46.6,,,,,,,,
67,Guinea,,324,C B R,50.1,50.1,50.2,51.3,47.8,41.4,41.4,,,,,,,,
68,Guinea-Bissau,,624,B R,50.0,50.5,50.3,50.3,51.1,51.5,51.7,,,,,,,,
69,Liberia,,430,B,43.2,46.5,45.9,41.3,42.6,43.0,43.0,,,,,,,,
70,Mali,,466,B R,49.0,48.4,48.4,48.5,49.3,49.3,49.3,,,,,,,,
71,Mauritania,,478,C R,48.4,47.5,45.7,43.9,42.6,43.5,43.5,,,,,,,,
72,Niger,,562,B R,52.2,52.2,52.4,52.5,52.5,52.6,52.6,,,,,,,,
73,Nigeria,,566,C R,43.9,44.3,44.6,41.8,41.8,45.1,45.1,,,,,,,,
