,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,
,,,,"Table 6 - Estimated refugee stock (including asylum seekers) at mid-year by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,,Refugees and asylum seekers as a percentage of the international migrant stock,,,,,,,Annual rate of change of the refugee stock (including asylum seekers),,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
25,Comoros,,174,B,0,5,10,5,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,..,13.9,-13.9,..,..,..
26,Djibouti,,262,B R,"54,508","27,310","23,257","10,456","15,104","22,006","26,895",44.6,27.4,23.1,11.4,14.9,19.6,23.3,-13.8,-3.2,-16.0,7.4,7.5,5.0
27,Eritrea,,232,I,0,"1,083","1,984","4,418","4,809","2,550","2,392",0.0,8.7,15.3,30.9,30.7,16.0,14.9,..,12.1,16.0,1.7,-12.7,-1.6
28,Ethiopia,,231,B R,"741,965","393,479","197,959","100,817","155,323","738,217","891,990",64.2,48.8,32.4,19.6,27.3,63.5,71.2,-12.7,-13.7,-13.5,8.6,31.2,4.7
29,Kenya,,404,B R,"14,249","234,665","214,819","267,731","430,871","593,881","488,368",4.8,37.9,30.3,34.6,45.1,52.7,46.7,56.0,-1.8,4.4,9.5,6.4,-4.9
30,Madagascar,,450,C,0,0,50,0,0,22,86,0.0,0.0,0.2,0.0,0.0,0.1,0.2,..,..,..,..,..,34.1
31,Malawi,,454,B R,"874,614","1,018","3,900","4,240","5,740","23,489","34,973",77.6,0.4,1.7,1.9,2.6,10.1,14.1,-135.1,26.9,1.7,6.1,28.2,10.0
32,Mauritius,1,480,C,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
33,Mayotte,,175,B,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
34,Mozambique,,508,B R,420,128,207,"1,954","9,991","20,447","23,651",0.3,0.1,0.1,0.7,3.3,6.4,7.1,-23.8,9.6,44.9,32.6,14.3,3.6
35,Réunion,,638,B,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
36,Rwanda,,646,B R,"23,601","7,792","30,118","49,507","55,688","145,151","171,414",14.7,3.6,8.7,11.7,13.0,28.2,31.7,-22.2,27.0,9.9,2.4,19.2,4.2
37,Seychelles,,690,B,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
38,Somalia,,706,I R,"460,000",626,568,493,"26,048","18,201","29,231",96.2,3.2,2.8,2.4,54.1,44.4,56.1,-132.0,-1.9,-2.8,79.3,-7.2,11.8
39,South Sudan,,728,B R,..,..,..,..,"27,173","263,865","285,295",..,..,..,..,10.5,31.3,33.0,..,..,..,..,45.5,2.0
40,Uganda,,800,B R,"145,718","229,350","239,095","259,065","156,605","512,966","1,395,115",26.8,37.8,40.9,43.7,31.8,60.3,80.4,9.1,0.8,1.6,-10.1,23.7,25.0
41,United Republic of Tanzania,2,834,B R,"265,184","829,671","702,282","549,131","110,533","213,995","352,700",46.2,75.0,74.0,71.2,35.7,55.6,69.3,22.8,-3.3,-4.9,-32.1,13.2,12.5
42,Zambia,,894,B R,"138,049","129,965","251,199","155,864","48,182","28,858","45,936",49.4,53.2,73.1,61.6,32.1,21.8,27.0,-1.2,13.2,-9.5,-23.5,-10.3,11.6
43,Zimbabwe,,716,B R,"190,950",514,"4,195","13,968","4,851","7,209","15,948",30.1,0.1,1.0,3.5,1.2,1.8,3.9,-118.4,42.0,24.1,-21.2,7.9,19.9
44,Middle Africa,,911,,"447,234","1,545,096","608,840","659,946","809,445","1,224,909","1,431,395",30.6,58.0,34.3,33.7,33.3,35.1,37.8,24.8,-18.6,1.6,4.1,8.3,3.9
45,Angola,,24,B R,"12,000","11,404","12,579","13,867","15,155","45,698","71,270",35.8,28.6,27.3,22.6,4.6,7.2,10.6,-1.0,2.0,1.9,1.8,22.1,11.1
46,Cameroon,,120,B,"49,876","45,781","45,313","58,808","106,658","348,346","343,120",18.8,18.7,19.9,22.1,36.6,68.5,67.9,-1.7,-0.2,5.2,11.9,23.7,-0.4
47,Central African Republic,,140,C,"3,389","33,856","55,661","24,569","21,574","7,694","10,611",5.0,34.0,45.1,26.0,23.1,9.4,11.7,46.0,9.9,-16.4,-2.6,-20.6,8.0
48,Chad,,148,B R,0,100,"17,692","275,412","347,939","372,438","412,100",0.0,0.1,16.9,78.2,83.5,79.8,80.5,..,103.5,54.9,4.7,1.4,2.5
49,Congo,,178,B,"2,990","19,404","124,068","69,561","138,636","49,297","55,576",2.3,10.1,40.6,21.8,32.6,12.6,13.8,37.4,37.1,-11.6,13.8,-20.7,3.0
50,Democratic Republic of the Congo,,180,B R,"378,562","1,433,760","332,509","204,341","166,336","398,552","537,893",50.2,78.9,44.7,32.8,28.2,48.3,55.8,26.6,-29.2,-9.7,-4.1,17.5,7.5
51,Equatorial Guinea,,226,C,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
52,Gabon,,266,C,417,791,"21,018","13,388","13,147","2,884",825,0.3,0.5,9.8,5.7,4.9,0.8,0.2,12.8,65.6,-9.0,-0.4,-30.3,-31.3
53,Sao Tome and Principe,,678,C,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
54,Southern Africa,,913,,"135,525","105,184","62,850","180,315","242,021","1,224,036","287,959",9.7,8.8,5.0,11.4,10.3,30.1,6.4,-5.1,-10.3,21.1,5.9,32.4,-36.2
55,Botswana,,72,B,"1,220",266,"3,551","3,109","2,986","2,480","2,480",4.4,0.7,4.7,3.7,3.2,2.4,2.2,-30.5,51.8,-2.7,-0.8,-3.7,0.0
56,Eswatini,,748,B R,"42,074",712,690,"1,016",759,964,"1,309",56.1,2.0,2.0,3.0,2.3,3.0,4.1,-81.6,-0.6,7.7,-5.8,4.8,7.6
57,Lesotho,,426,C R,"2,231","1,116",1,1,0,35,87,27.1,15.5,0.0,0.0,0.0,0.5,1.3,-13.9,-140.4,0.0,..,..,22.8
58,Namibia,,516,B,0,"1,682","28,407","6,380","8,675","2,849","4,056",0.0,1.5,21.0,5.9,8.4,2.8,3.8,..,56.5,-29.9,6.1,-22.3,8.8
59,South Africa,,710,B R,"90,000","101,408","30,201","169,809","229,601","1,217,708","280,027",7.7,10.1,3.0,12.6,10.9,31.9,6.6,2.4,-24.2,34.5,6.0,33.4,-36.7
