,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,
,,,,,Population Division,,,,,,,,,,,,,,,,,
,,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Workbook: UN_Migrant StockByAgeAndSex_2019.xlsx,,,,,,,,,,,,,,,,,
,,,,,"Table 5. Female migrants as a percentage of the international migrant stock by age and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,
,,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,,,
,,,,,,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1995,1995211,Nauru,,520,C,47.8,45.3,42.9,43.4,46.5,49.5,49.5,48.2,46.8,46.2,43.6,40.8,40.8,40.4,39.3,53.1,46.4
1995,1995212,Northern Mariana Islands,,580,B,50.9,53.0,57.3,64.4,63.7,59.5,52.9,46.8,42.9,37.2,34.7,30.7,33.3,43.8,56.5,73.4,51.1
1995,1995213,Palau,,585,B,48.4,48.6,48.7,51.7,58.5,44.3,36.1,34.3,36.1,29.7,26.5,21.8,30.0,13.0,7.7,16.7,40.9
1995,1995214,Polynesia,17,957,,46.7,47.2,47.4,47.8,46.1,46.3,45.5,44.1,41.6,43.4,37.8,37.3,37.9,39.6,44.8,51.4,44.7
1995,1995215,American Samoa,,16,B,48.2,48.2,48.5,49.8,51.1,49.8,48.6,47.0,45.9,43.7,41.8,42.1,45.0,49.2,49.1,49.2,47.9
1995,1995216,Cook Islands,,184,B,45.5,44.8,44.0,44.9,45.3,45.7,47.2,41.3,38.1,39.2,38.6,40.6,41.7,51.4,51.6,51.1,44.3
1995,1995217,French Polynesia,,258,B,48.2,47.6,47.3,45.3,37.9,40.7,41.7,41.9,39.0,44.0,35.1,31.7,29.3,27.3,36.2,43.1,41.2
1995,1995218,Niue,,570,B,57.1,53.2,49.2,44.9,45.9,47.2,56.0,37.5,30.4,27.8,26.7,27.3,30.0,57.1,33.3,40.0,46.5
1995,1995219,Samoa,,882,B,43.1,42.1,43.1,49.6,57.5,59.9,55.0,44.9,37.9,37.6,39.3,45.5,49.0,60.6,61.1,71.3,47.8
1995,1995220,Tokelau,,772,B,44.1,46.7,52.1,53.1,54.5,44.4,42.9,20.0,14.3,14.3,20.0,0.0,33.3,0.0,0.0,60.0,44.7
1995,1995221,Tonga,,776,B,46.5,48.9,50.3,51.2,50.7,49.8,48.1,46.7,44.0,42.4,41.4,42.9,46.2,37.8,36.6,52.5,47.5
1995,1995222,Tuvalu,,798,C,43.8,46.2,36.4,36.8,34.5,43.3,44.4,44.0,40.0,43.8,46.7,45.5,50.0,45.5,83.3,75.0,43.7
1995,1995223,Wallis and Futuna Islands,,876,B,49.6,49.7,50.2,43.2,47.5,57.5,49.1,48.3,46.7,45.9,47.1,47.1,36.4,36.4,40.0,..,48.8
1995,1995224,EUROPE AND NORTHERN AMERICA,,1829,,49.2,49.5,49.3,49.0,49.0,48.8,49.1,49.7,50.4,50.8,51.4,52.1,54.1,55.2,58.4,62.5,51.3
1995,1995225,EUROPE,,917,,48.9,49.0,49.1,49.4,50.4,50.3,50.0,49.8,50.1,50.4,50.6,51.6,54.1,55.3,58.1,63.3,51.6
1995,1995226,Eastern Europe,,923,,49.2,49.5,49.6,49.8,49.9,50.0,50.1,50.4,51.1,51.9,53.1,54.4,56.8,60.1,63.3,65.1,53.1
1995,1995227,Belarus,,112,B,47.9,49.2,50.6,51.7,53.2,53.7,53.1,52.6,53.2,53.5,52.9,53.2,55.5,55.9,63.2,67.9,54.2
1995,1995228,Bulgaria,,100,B,47.5,45.2,46.3,47.1,46.0,50.2,53.1,57.1,65.6,73.0,71.6,64.8,67.4,65.3,64.5,67.6,57.9
1995,1995229,Czechia,,203,C,42.1,41.6,41.6,43.2,44.6,43.2,39.8,40.4,43.1,46.2,45.2,44.1,46.1,48.3,53.3,61.6,46.7
1995,1995230,Hungary,,348,B R,47.1,47.2,47.3,48.9,50.9,51.5,51.0,51.3,52.6,53.8,53.7,53.7,56.5,58.0,60.0,63.6,54.3
1995,1995231,Poland,,616,B,56.6,56.7,56.3,55.5,54.6,54.6,55.0,54.5,52.7,51.5,52.5,55.5,57.4,59.2,61.5,63.6,58.1
1995,1995232,Republic of Moldova,18,498,B,47.0,47.5,48.1,48.6,49.1,50.2,52.0,54.2,55.3,56.0,57.2,58.9,61.3,63.9,67.1,67.1,57.7
1995,1995233,Romania,,642,B,49.9,49.7,50.3,55.2,50.8,49.1,39.7,35.0,35.3,46.9,50.1,52.5,55.0,57.5,59.6,65.9,55.2
1995,1995234,Russian Federation,,643,B,49.0,49.1,49.0,48.8,48.4,47.9,47.7,47.8,48.4,49.4,50.9,52.7,54.8,57.5,60.0,61.5,50.3
1995,1995235,Slovakia,,703,B,48.4,48.9,49.2,50.0,51.2,52.6,53.1,52.7,52.5,53.5,55.4,57.6,59.0,60.6,62.2,63.6,56.0
1995,1995236,Ukraine,19,804,B,49.5,49.8,50.5,51.6,52.8,53.9,54.8,55.5,56.0,56.2,56.5,57.4,60.3,64.5,68.0,69.7,57.2
1995,1995237,Northern Europe,,924,,49.2,49.3,49.2,49.9,53.4,51.6,50.6,51.2,52.6,52.2,50.7,51.5,54.7,55.1,57.3,65.3,52.7
1995,1995238,Channel Islands,20,830,B,48.9,51.2,49.4,52.5,57.7,53.9,51.9,53.0,50.9,50.2,49.9,48.6,51.1,53.4,55.9,63.9,53.0
1995,1995239,Denmark,,208,B,51.7,53.3,53.5,55.2,50.4,44.3,45.4,49.2,48.6,46.6,51.4,57.5,63.7,68.1,68.0,76.8,51.4
1995,1995240,Estonia,,233,B,49.4,50.1,49.1,38.9,46.2,50.8,52.5,53.4,54.1,54.4,55.7,57.7,60.5,65.4,67.1,77.2,56.8
1995,1995241,Faroe Islands,,234,B,49.5,45.4,47.6,47.6,41.7,44.7,45.9,44.2,41.8,41.0,38.5,58.3,45.5,53.5,60.0,66.7,45.7
1995,1995242,Finland,21,246,B,50.8,50.8,50.7,50.8,49.6,48.5,47.3,44.6,42.2,43.6,48.2,53.1,61.5,60.9,66.8,78.0,50.3
1995,1995243,Iceland,,352,B,48.9,49.4,50.7,53.8,55.5,55.3,54.5,54.3,53.0,51.5,51.5,55.1,61.0,70.0,77.4,90.2,55.0
1995,1995244,Ireland,,372,B,50.5,50.0,50.5,51.7,53.6,52.5,51.4,51.4,51.3,51.2,51.5,52.4,53.7,54.4,56.5,65.6,52.4
1995,1995245,Isle of Man,,833,B,46.3,48.8,48.9,47.6,52.4,52.2,49.8,51.5,50.6,50.9,49.7,49.8,52.2,54.6,55.5,62.9,52.4
1995,1995246,Latvia,,428,B,45.8,46.8,47.3,47.6,48.7,50.4,51.8,52.4,52.7,53.6,54.3,55.3,57.1,61.4,63.8,69.7,56.5
1995,1995247,Lithuania,,440,B,46.7,46.8,46.8,47.0,47.6,48.7,49.6,50.0,50.1,50.8,51.8,53.1,55.2,57.7,61.8,63.7,53.0
1995,1995248,Norway,22,578,B,49.0,49.4,49.8,50.5,50.5,49.5,48.2,47.0,46.5,47.0,48.0,50.1,55.9,54.6,60.7,70.6,49.8
1995,1995249,Sweden,,752,B,48.9,48.8,48.8,49.7,53.3,51.5,48.1,49.3,50.7,51.0,48.0,49.9,55.3,59.0,61.3,68.2,51.8
1995,1995250,United Kingdom,,826,B,49.0,48.8,48.6,50.0,54.4,52.7,51.7,51.9,54.0,53.1,50.0,50.0,52.8,51.2,52.9,61.3,52.4
1995,1995251,Southern Europe,,925,,48.4,48.4,48.5,48.8,49.9,50.9,51.4,51.9,52.8,53.3,54.0,55.9,57.1,58.7,59.2,62.0,52.5
1995,1995252,Albania,,8,B,45.2,44.7,44.5,44.8,45.6,47.9,51.3,55.9,63.2,68.9,67.9,64.0,67.0,70.9,70.0,73.2,53.4
1995,1995253,Andorra,,20,C,49.7,49.4,49.2,49.6,48.9,47.3,45.8,44.5,44.1,45.0,46.1,47.2,47.6,45.4,48.2,48.2,46.6
1995,1995254,Bosnia and Herzegovina,,70,I R,44.6,44.9,45.3,47.4,51.2,54.1,54.6,53.8,53.4,53.0,52.9,52.8,54.7,54.7,56.3,56.8,52.3
1995,1995255,Croatia,,191,B R,48.8,49.0,49.2,50.0,54.1,55.4,53.8,53.0,52.4,50.8,50.2,50.4,52.2,56.6,60.8,68.0,53.2
1995,1995256,Gibraltar,,292,B,52.9,53.7,53.7,53.0,53.3,52.9,51.8,49.1,47.0,45.4,44.1,43.2,43.2,42.4,42.4,42.9,49.9
1995,1995257,Greece,,300,B,47.4,47.1,46.7,45.7,45.4,46.7,48.3,49.6,50.4,50.5,49.3,48.7,50.6,49.3,52.7,54.4,48.1
1995,1995258,Holy See,23,336,I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.4
1995,1995259,Italy,,380,B,49.0,49.0,49.1,49.7,51.0,52.3,52.2,52.4,54.3,57.5,60.0,61.0,63.5,63.5,62.6,67.5,54.4
1995,1995260,Malta,,470,B,48.0,48.2,48.2,49.5,51.2,53.6,56.1,56.0,54.9,53.7,54.2,56.1,56.9,57.1,56.7,57.0,52.8
1995,1995261,Montenegro,,499,B,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995,1995262,North Macedonia,,807,B,48.5,48.9,48.5,51.8,57.2,60.7,61.1,59.2,58.9,58.4,58.4,58.7,58.9,58.8,62.6,64.7,58.3
1995,1995263,Portugal,,620,B,48.3,48.4,48.7,49.1,49.6,50.2,51.1,52.1,53.0,53.8,54.6,55.6,57.1,59.5,62.1,63.7,51.3
1995,1995264,San Marino,,674,C,53.7,54.0,53.9,52.7,50.9,48.6,46.5,44.9,42.6,41.6,40.5,41.1,41.9,43.5,42.9,58.3,47.0
1995,1995265,Serbia,24,688,B,46.7,47.0,47.6,48.8,51.0,53.1,54.5,54.5,54.0,53.7,53.5,59.9,60.5,61.5,57.7,58.8,55.2
1995,1995266,Slovenia,,705,B,46.3,49.6,51.3,49.5,46.4,44.9,51.5,51.5,49.2,44.0,44.2,44.6,43.1,46.6,55.0,64.0,48.3
1995,1995267,Spain,25,724,B,50.3,49.9,49.5,49.5,49.6,49.5,49.5,50.0,51.1,52.4,53.9,56.8,56.5,56.3,55.6,56.7,51.1
1995,1995268,Western Europe,,926,,48.8,48.7,48.5,49.0,49.8,49.9,49.0,48.0,47.5,47.3,47.0,47.1,49.4,48.7,51.2,60.3,49.1
1995,1995269,Austria,,40,B,50.2,50.1,49.5,49.4,52.5,54.6,51.4,48.3,48.8,50.6,50.3,52.1,54.5,58.8,61.5,70.0,52.7
1995,1995270,Belgium,,56,B,51.7,51.6,51.9,52.7,53.5,50.6,48.3,46.9,46.3,46.1,45.9,46.8,48.6,48.9,51.5,60.7,49.4
1995,1995271,France,,250,B,48.8,48.9,49.1,49.7,50.7,51.3,51.0,50.0,48.6,46.9,45.5,45.3,49.7,48.3,52.5,62.2,50.0
1995,1995272,Germany,,276,B,46.4,46.2,46.2,47.3,48.3,48.6,47.9,47.0,47.0,47.8,48.4,48.1,48.5,46.0,45.4,53.0,47.8
1995,1995273,Liechtenstein,,438,B,48.0,46.8,47.4,49.4,52.8,54.3,52.5,46.7,41.2,37.5,36.5,37.4,41.4,45.9,52.5,56.0,46.9
1995,1995274,Luxembourg,,442,B,49.3,49.4,49.4,50.0,50.6,50.8,49.9,48.8,47.8,47.5,47.8,49.4,55.1,54.8,59.5,67.5,50.6
1995,1995275,Monaco,,492,B,50.9,50.0,49.3,50.0,51.8,52.8,52.6,51.6,50.8,49.6,50.1,50.9,53.3,55.1,57.0,58.2,52.7
1995,1995276,Netherlands,,528,B,52.6,52.7,53.0,53.7,53.3,51.9,49.6,48.2,47.5,47.1,47.3,47.6,49.6,51.0,55.4,56.6,50.4
1995,1995277,Switzerland,,756,B,48.5,48.7,48.3,47.6,47.6,47.9,47.2,45.6,45.0,45.5,46.5,47.0,50.0,53.5,59.3,73.0,48.0
1995,1995278,NORTHERN AMERICA,,918,,50.2,50.5,49.9,48.3,47.0,46.8,47.9,49.5,50.9,51.5,52.6,52.9,54.1,55.0,58.9,61.0,50.8
1995,1995279,Bermuda,,60,B,49.1,51.1,49.9,47.9,51.3,50.7,49.6,49.0,49.2,50.6,53.8,55.0,56.5,60.5,57.1,64.4,51.8
1995,1995280,Canada,,124,B,52.8,47.9,48.6,47.8,51.5,52.5,51.8,52.1,52.2,50.4,49.8,49.9,49.5,50.5,55.3,59.3,51.6
1995,1995281,Greenland,,304,B,47.1,52.6,46.0,49.5,39.3,36.2,34.1,29.7,28.3,22.6,21.7,16.3,15.9,16.4,4.0,25.0,31.5
1995,1995282,Saint Pierre and Miquelon,,666,B,48.5,48.4,51.2,50.0,48.1,45.5,44.8,43.5,41.2,39.3,40.3,44.2,54.5,64.3,72.7,93.2,48.3
1995,1995283,United States of America,,840,B,49.9,50.8,50.1,48.4,46.5,46.2,47.4,49.2,50.6,51.8,53.2,53.6,55.4,56.6,60.0,61.4,50.7
2000,2000001,WORLD,,900,,49.4,49.3,48.9,48.7,48.5,47.7,47.2,46.9,47.3,48.0,49.0,50.0,51.9,53.4,55.9,58.3,49.3
2000,2000002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000,2000003,More developed regions,b,901,,49.2,49.0,48.4,48.1,48.7,49.5,49.7,49.6,50.2,50.7,51.3,52.0,53.4,54.5,57.2,61.8,51.1
2000,2000003,Less developed regions,c,902,,49.4,49.5,49.4,49.4,48.3,45.3,43.5,42.5,42.1,42.7,44.3,46.1,48.7,51.3,53.4,53.5,46.5
2000,2000004,Least developed countries,d,941,,49.7,49.4,49.2,50.6,51.9,51.3,50.2,49.1,49.4,49.2,48.6,48.5,48.7,49.0,49.6,50.6,50.0
2000,2000004,"Less developed regions, excluding least developed countries",,934,,49.3,49.5,49.5,49.0,47.4,44.1,42.3,41.6,41.3,41.9,43.8,45.9,48.7,51.5,53.7,53.6,46.0
2000,2000005,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000,2000005,High-income countries,e,1503,,49.6,49.3,48.6,47.9,48.0,47.2,46.8,46.6,47.1,48.0,49.2,50.1,51.9,52.7,55.4,60.7,49.1
2000,2000006,Middle-income countries,e,1517,,49.0,49.3,49.2,49.2,48.6,47.9,47.3,46.9,47.4,47.7,48.7,50.0,51.9,54.6,56.9,55.5,49.5
2000,2000006,Upper-middle-income countries,e,1502,,48.5,48.8,48.9,48.4,47.3,46.6,46.2,46.3,46.9,47.4,48.5,50.1,52.1,55.3,58.1,60.0,48.9
2000,2000007,Lower-middle-income countries,e,1501,,49.9,50.2,49.8,50.6,50.5,49.9,49.0,47.8,48.0,48.1,48.9,50.0,51.7,53.9,56.0,53.3,50.2
2000,2000007,Low-income countries,e,1500,,50.0,49.5,49.3,50.9,52.4,51.9,51.1,50.0,49.0,49.0,48.8,49.4,50.2,51.3,52.6,53.2,50.4
2000,2000008,No income group available,e,1518,,48.7,49.8,50.3,51.0,51.9,52.5,53.4,51.9,51.2,49.7,47.8,46.0,44.8,44.2,46.0,53.5,50.6
2000,2000008,Geographic regions,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000,2000009,Africa,,903,,50.1,50.2,50.1,50.7,49.9,47.6,45.3,43.4,42.2,41.6,41.7,42.6,43.8,45.5,47.1,48.1,46.9
2000,2000009,Asia,,935,,49.2,49.2,49.1,48.6,47.5,44.3,42.7,41.9,41.6,42.3,44.3,46.7,49.9,52.8,54.8,53.4,46.2
2000,2000010,Europe,,908,,49.0,49.0,48.8,49.2,50.5,50.9,50.2,49.8,50.1,50.7,51.1,51.8,53.2,54.5,57.5,63.0,51.6
2000,2000010,Latin America and the Caribbean,,904,,48.2,48.8,49.1,50.0,50.8,50.9,50.5,50.3,50.0,49.4,49.0,48.2,47.9,48.5,50.4,56.4,50.1
2000,2000011,Northern America,,905,,49.6,49.2,47.8,46.6,46.3,47.4,48.5,49.1,50.0,51.0,52.1,53.3,54.9,55.8,58.4,60.8,50.5
2000,2000011,Oceania,,909,,48.8,48.5,49.0,48.9,49.6,51.5,51.6,50.7,50.7,48.7,50.0,47.1,47.6,48.0,48.7,57.4,50.1
2000,2000012,Sustainable Development Goal (SDG) regions,f,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000,2000012,SUB-SAHARAN AFRICA,,947,,50.2,50.3,50.1,50.8,50.2,48.0,46.0,44.2,43.0,42.2,42.0,42.8,43.7,45.4,47.2,48.0,47.2
2000,2000023,Eastern Africa,,910,,49.8,49.7,49.8,49.8,50.8,49.8,48.8,47.7,46.8,46.4,45.8,46.4,47.1,48.1,48.9,49.5,48.8
2000,2000024,Burundi,,108,B R,56.7,56.8,56.7,54.6,50.2,46.7,46.8,48.4,50.2,51.8,52.1,52.4,52.3,52.4,52.4,53.0,51.4
2000,2000025,Comoros,,174,B,55.8,56.8,57.5,56.5,55.1,54.4,53.9,52.6,50.8,48.7,46.6,45.5,45.6,47.5,47.1,47.3,52.8
2000,2000026,Djibouti,,262,B R,35.6,40.4,45.9,52.0,56.3,54.3,51.5,44.1,39.7,38.6,37.9,38.5,38.7,44.8,44.7,44.8,47.3
2000,2000027,Eritrea,,232,I,46.2,46.0,46.3,46.4,46.6,46.9,47.0,47.2,47.3,47.7,47.5,48.1,46.4,52.1,51.5,59.0,47.1
2000,2000028,Ethiopia,,231,B R,46.4,46.5,46.5,46.6,46.8,46.9,47.1,47.3,47.6,47.8,48.1,48.8,49.5,50.9,50.9,51.0,47.3
2000,2000029,Kenya,,404,B R,49.0,48.6,47.5,48.1,50.8,51.2,51.4,51.0,50.5,49.6,49.6,50.0,53.9,52.9,52.6,53.3,50.1
2000,2000030,Madagascar,,450,C,59.7,59.4,58.0,53.3,48.1,46.8,50.8,52.0,49.1,43.0,37.1,32.1,28.4,26.0,27.8,28.9,43.6
2000,2000031,Malawi,,454,B R,50.3,51.0,52.2,52.6,51.6,50.1,49.3,49.8,51.1,52.3,53.3,54.2,55.2,56.0,56.4,56.5,52.1
2000,2000032,Mauritius,1,480,C,52.6,51.6,56.7,64.6,71.0,71.3,62.1,54.7,47.3,42.3,42.8,41.3,41.1,35.4,38.2,41.3,63.3
2000,2000033,Mayotte,,175,B,47.5,49.7,53.4,52.9,51.3,49.6,48.2,46.1,42.1,39.9,39.4,41.7,37.3,32.5,24.6,26.0,48.2
2000,2000034,Mozambique,,508,B R,51.4,50.1,50.7,45.1,45.3,44.6,48.1,47.6,46.2,44.5,43.0,43.5,44.0,45.5,47.0,49.3,47.3
2000,2000035,Réunion,,638,B,48.0,48.4,49.1,49.9,50.6,50.7,50.3,48.9,47.5,45.6,44.1,41.9,40.9,41.5,45.9,49.1,48.1
2000,2000036,Rwanda,,646,B R,51.4,51.7,52.4,52.6,51.5,48.5,45.8,44.3,44.1,46.3,49.4,53.0,54.6,54.9,58.2,64.2,49.4
2000,2000037,Seychelles,,690,B,49.4,49.0,47.5,44.0,40.8,39.4,39.8,40.9,40.9,40.9,40.9,41.3,42.4,39.5,42.9,47.8,41.6
2000,2000038,Somalia,,706,I R,50.3,50.8,55.2,57.0,54.8,49.8,43.9,39.0,36.7,36.1,36.9,38.5,41.3,42.6,46.9,55.7,47.1
2000,2000039,South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000,2000040,Uganda,,800,B R,50.1,49.3,48.7,49.8,58.9,59.4,56.1,52.7,48.8,45.7,42.3,41.3,42.0,44.1,44.2,43.3,50.2
2000,2000041,United Republic of Tanzania,2,834,B R,49.6,50.2,50.9,51.5,51.6,51.1,50.2,49.4,48.9,48.2,47.3,46.1,45.0,43.9,43.9,44.0,49.3
2000,2000042,Zambia,,894,B R,51.2,51.0,50.6,49.7,48.6,48.0,47.9,47.9,48.0,48.1,48.2,48.5,48.7,49.0,49.6,49.8,49.1
2000,2000043,Zimbabwe,,716,B R,52.0,51.9,51.7,50.0,46.7,42.9,39.9,37.7,36.4,36.3,37.6,40.6,45.4,50.5,50.5,50.7,43.0
2000,2000044,Middle Africa,,911,,48.9,48.9,49.4,50.7,50.6,49.8,48.5,47.8,47.6,47.8,46.4,45.0,42.3,42.1,42.6,43.1,48.4
2000,2000045,Angola,,24,B R,55.0,55.9,56.6,57.5,56.9,51.4,43.8,39.2,38.2,38.1,38.1,38.3,41.9,46.2,46.2,50.7,49.3
2000,2000046,Cameroon,,120,B,47.3,47.1,46.8,46.3,46.0,46.0,46.0,46.0,46.0,46.0,43.9,40.8,39.1,38.1,38.0,38.1,45.4
2000,2000047,Central African Republic,,140,C,51.0,49.3,47.9,47.8,47.9,46.7,45.6,44.9,44.8,44.3,42.8,42.3,43.7,45.9,45.8,47.3,46.9
2000,2000048,Chad,,148,B R,46.3,46.6,50.1,53.3,43.4,47.7,46.7,40.4,37.1,49.2,47.6,51.5,29.2,31.7,40.9,49.2,46.1
2000,2000049,Congo,,178,B,50.3,52.3,54.2,54.4,52.7,50.3,48.6,47.9,47.8,47.6,46.9,46.0,45.5,45.3,45.2,45.2,49.9
2000,2000050,Democratic Republic of the Congo,,180,B R,48.3,48.5,48.9,51.3,53.2,53.3,52.9,53.7,54.0,53.0,50.8,48.0,43.4,41.3,41.2,41.3,51.0
2000,2000051,Equatorial Guinea,,226,C,59.8,62.2,62.6,59.4,52.6,44.0,39.9,37.7,38.3,37.9,39.7,43.7,43.2,43.3,53.8,66.7,47.0
2000,2000052,Gabon,,266,C,47.7,46.7,45.9,45.8,45.2,43.1,40.7,39.3,38.5,37.5,36.8,37.6,40.4,43.9,43.9,43.9,42.6
2000,2000053,Sao Tome and Principe,,678,C,48.7,58.7,56.8,57.6,58.9,61.0,59.4,52.9,45.4,40.5,40.0,40.9,43.2,46.3,49.0,53.8,49.3
2000,2000054,Southern Africa,,913,,48.6,48.6,46.4,42.4,39.0,37.9,37.3,37.8,39.1,39.9,41.1,43.9,46.1,48.2,48.2,48.6,41.2
2000,2000055,Botswana,,72,B,43.8,44.5,45.1,45.1,43.8,42.2,39.6,38.9,39.3,38.7,39.1,40.1,42.8,43.6,42.4,41.9,41.5
2000,2000056,Eswatini,,748,B R,49.5,49.8,48.6,47.8,46.4,46.1,45.3,45.0,45.1,46.2,46.8,49.0,49.8,52.8,54.6,58.1,47.4
2000,2000057,Lesotho,,426,C R,46.5,46.5,46.6,47.5,47.7,46.2,44.2,42.5,43.0,43.7,46.4,49.7,45.9,50.0,52.9,64.2,45.9
2000,2000058,Namibia,,516,B,49.0,50.3,48.5,40.3,39.1,47.8,47.5,44.6,47.2,43.6,44.9,45.0,46.2,49.4,51.1,53.7,46.0
2000,2000059,South Africa,,710,B R,49.3,48.6,45.8,42.3,38.4,36.2,36.0,36.9,38.2,39.5,40.7,43.9,46.2,48.1,47.7,47.7,40.3
2000,2000060,Western Africa,,914,,51.0,51.4,50.9,52.8,51.9,48.3,44.9,41.4,38.4,36.1,35.5,35.8,37.6,39.4,44.4,47.0,46.9
2000,2000061,Benin,,204,C B R,49.1,51.4,52.8,51.7,47.7,45.8,42.0,40.8,38.5,37.0,37.1,34.5,41.1,46.5,44.0,49.4,46.4
2000,2000062,Burkina Faso,,854,B R,48.8,48.2,47.7,49.1,52.4,55.8,56.9,57.1,57.4,56.5,55.6,52.9,54.7,51.9,55.0,56.9,51.8
2000,2000063,Cabo Verde,,132,B,49.6,49.5,48.8,48.0,46.4,45.0,46.0,49.1,50.3,48.2,45.6,46.4,52.2,64.1,63.4,63.9,47.8
2000,2000064,Côte d'Ivoire,,384,C B,56.2,58.4,60.5,58.6,53.6,47.3,42.1,37.1,32.9,29.2,26.4,25.2,27.0,27.9,29.7,32.6,44.6
2000,2000065,Gambia,,270,B,51.5,53.7,55.9,55.2,50.4,43.9,43.0,44.5,40.9,34.0,29.8,30.8,30.8,36.1,36.0,36.7,46.8
2000,2000066,Ghana,,288,B,49.0,50.6,50.7,51.2,52.0,52.0,50.7,51.9,47.8,45.4,47.5,42.7,45.0,41.6,42.0,37.4,49.2
2000,2000067,Guinea,,324,C B R,51.8,49.3,48.7,49.5,50.5,50.6,49.8,48.9,48.3,48.2,48.5,48.8,60.9,61.3,62.9,62.5,50.2
2000,2000068,Guinea-Bissau,,624,B R,50.1,50.5,51.7,54.9,57.6,54.8,49.6,45.5,43.6,43.7,43.6,45.1,43.8,43.7,43.7,48.0,50.3
2000,2000069,Liberia,,430,B,59.9,60.5,61.4,54.4,43.1,37.0,34.9,33.4,31.4,31.3,31.5,34.9,36.9,36.6,44.1,48.2,45.9
2000,2000070,Mali,,466,B R,48.0,47.3,47.1,48.0,50.0,50.9,50.6,49.0,48.2,48.6,49.4,49.9,48.7,47.8,45.5,44.9,48.4
2000,2000071,Mauritania,,478,C R,49.4,49.8,54.9,53.1,49.4,44.6,40.8,38.7,37.9,38.0,38.6,39.4,40.7,43.1,47.7,49.8,45.7
2000,2000072,Niger,,562,B R,52.6,52.9,56.9,60.5,49.3,54.2,53.0,45.9,42.2,55.9,54.1,58.5,33.2,36.0,46.6,55.8,52.4
2000,2000073,Nigeria,,566,C R,48.3,50.1,49.6,49.0,49.8,48.0,43.0,37.7,33.3,31.1,30.8,32.1,33.1,34.2,36.9,39.3,44.6
2000,2000074,Saint Helena,3,654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.5
2000,2000075,Senegal,,686,B R,48.5,44.8,42.8,49.2,51.8,51.3,51.5,48.2,43.1,41.8,40.9,38.6,44.9,50.7,54.7,57.4,47.6
2000,2000076,Sierra Leone,,694,B R,36.5,35.0,32.3,32.9,37.0,45.8,55.0,63.6,69.9,76.6,77.9,72.2,60.9,51.9,47.9,47.4,44.7
2000,2000077,Togo,,768,C R,52.7,52.2,51.5,51.4,51.4,50.4,48.0,45.6,44.2,44.0,44.9,46.2,47.7,48.4,51.5,53.8,49.9
2000,2000078,NORTHERN AFRICA AND WESTERN ASIA,,1833,,49.6,49.7,49.7,48.1,43.8,37.0,34.0,32.7,32.0,33.0,37.5,42.6,48.8,54.2,56.3,57.5,40.7
2000,2000079,Northern Africa,,912,,49.8,49.8,50.1,49.6,46.9,43.8,40.4,37.3,36.4,37.5,39.3,41.3,44.4,46.1,46.3,48.7,44.4
2000,2000080,Algeria,,12,B R,43.8,43.3,42.9,44.6,45.6,46.4,46.7,45.9,45.7,47.3,47.5,45.2,43.8,41.8,41.8,41.8,45.2
2000,2000081,Egypt,,818,B R,51.4,49.5,48.6,44.2,43.2,49.1,50.1,47.8,45.1,45.2,44.3,44.8,41.2,40.4,48.5,61.6,46.8
2000,2000082,Libya,,434,C,54.5,54.5,54.6,52.6,45.6,35.1,26.4,20.2,16.4,15.3,16.6,20.3,31.4,41.5,40.7,50.7,35.0
2000,2000083,Morocco,,504,C,46.9,47.4,46.4,44.2,43.5,45.4,47.9,48.1,47.5,47.7,48.9,51.3,54.0,56.5,58.4,59.6,48.6
