,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,
,,,,,Population Division,,,,,,,,,,,,,,,,,
,,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Workbook: UN_Migrant StockByAgeAndSex_2019.xlsx,,,,,,,,,,,,,,,,,
,,,,,"Table 5. Female migrants as a percentage of the international migrant stock by age and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,
,,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,,,
,,,,,,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,1990026,Djibouti,,262,B R,34.8,39.5,44.9,50.9,55.0,53.1,50.4,43.1,38.8,37.8,37.1,37.6,37.9,43.8,43.9,43.8,47.4
1990,1990027,Eritrea,,232,I,46.4,46.4,46.6,46.7,47.1,47.3,47.5,47.6,47.5,47.6,48.1,48.2,48.5,53.0,53.0,59.0,47.4
1990,1990028,Ethiopia,,231,B R,46.6,46.7,46.8,46.8,47.0,47.3,47.4,47.6,47.6,48.0,48.6,48.6,49.2,51.3,51.3,51.3,47.4
1990,1990029,Kenya,,404,B R,46.5,47.0,47.3,47.0,47.0,47.6,46.0,44.1,42.8,42.8,43.3,43.2,45.1,44.6,43.6,44.0,45.9
1990,1990030,Madagascar,,450,C,62.4,61.1,55.2,49.9,48.5,52.3,54.5,51.0,44.6,38.5,33.3,29.5,26.9,28.8,33.9,38.7,44.2
1990,1990031,Malawi,,454,B R,54.2,53.9,53.0,51.7,50.3,49.4,49.1,49.1,49.1,49.1,49.6,50.6,51.2,52.1,52.2,53.0,51.5
1990,1990032,Mauritius,1,480,C,51.6,51.5,49.3,51.8,52.7,55.8,56.4,52.7,50.4,47.6,45.2,45.4,45.2,45.3,48.7,52.6,51.2
1990,1990033,Mayotte,,175,B,51.5,51.3,50.5,46.5,42.9,40.6,39.6,38.0,36.5,35.7,35.8,37.2,37.9,37.4,35.8,37.6,42.3
1990,1990034,Mozambique,,508,B R,50.1,48.8,49.4,43.9,44.1,43.5,46.8,46.4,45.0,43.3,41.8,42.3,42.8,44.3,45.7,47.8,46.0
1990,1990035,Réunion,,638,B,48.9,49.3,48.7,48.1,47.4,47.6,47.3,46.0,44.6,42.7,41.3,40.0,39.9,41.3,44.0,46.7,46.3
1990,1990036,Rwanda,,646,B R,50.9,51.9,52.5,51.1,49.5,46.0,44.0,43.4,46.1,49.8,52.4,55.3,50.4,58.4,63.3,70.2,49.5
1990,1990037,Seychelles,,690,B,50.0,49.2,46.8,43.5,41.3,40.2,39.5,38.1,36.3,35.4,35.8,37.3,38.2,43.7,54.7,61.8,40.8
1990,1990038,Somalia,,706,I R,50.9,51.3,56.0,57.9,55.7,50.6,44.6,39.7,37.4,36.9,37.8,39.6,41.8,42.4,46.4,48.1,48.9
1990,1990039,South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,1990040,Uganda,,800,B R,49.7,48.9,48.0,52.1,61.1,58.9,54.2,49.1,44.9,41.6,41.8,37.7,44.8,40.3,43.1,35.2,47.9
1990,1990041,United Republic of Tanzania,2,834,B R,50.7,51.3,51.9,52.7,53.0,52.3,51.2,50.4,50.0,49.4,48.4,47.1,46.1,46.1,44.9,44.9,50.6
1990,1990042,Zambia,,894,B R,50.1,50.0,50.0,49.8,49.6,49.5,49.6,49.5,48.5,46.8,45.7,45.3,45.2,45.1,44.6,44.9,48.8
1990,1990043,Zimbabwe,,716,B R,52.1,52.0,51.8,50.1,46.8,43.0,40.0,37.8,36.5,36.3,37.7,40.7,45.5,50.6,50.6,50.7,43.9
1990,1990044,Middle Africa,,911,,48.9,48.8,49.1,50.6,51.4,50.6,49.3,49.2,49.1,48.7,47.5,45.6,42.7,41.5,41.7,41.9,49.0
1990,1990045,Angola,,24,B R,51.2,52.0,52.7,53.5,52.9,47.8,40.7,36.4,35.5,35.5,35.4,35.6,39.0,38.7,43.6,51.8,45.9
1990,1990046,Cameroon,,120,B,46.5,46.3,46.1,45.6,45.2,45.2,45.3,45.3,45.3,45.3,43.2,40.1,38.5,37.5,37.4,37.4,45.2
1990,1990047,Central African Republic,,140,C,50.8,49.1,47.7,47.6,47.8,46.5,45.4,44.8,44.6,44.2,42.6,42.1,43.5,45.7,45.6,47.2,46.9
1990,1990048,Chad,,148,B R,44.4,46.6,48.9,51.6,52.7,51.1,47.9,44.6,41.7,38.9,36.2,34.5,34.5,34.6,34.6,34.6,46.0
1990,1990049,Congo,,178,B,50.5,52.8,55.1,55.6,53.3,50.3,48.8,48.1,48.1,48.2,47.4,46.1,45.8,45.8,45.7,45.7,50.3
1990,1990050,Democratic Republic of the Congo,,180,B R,49.2,49.4,49.8,52.2,54.1,54.2,53.8,54.6,54.9,53.9,51.7,48.8,44.2,42.0,42.0,42.0,51.9
1990,1990051,Equatorial Guinea,,226,C,59.5,60.1,58.9,56.0,52.0,48.8,45.8,42.6,37.1,33.1,31.1,33.3,33.0,32.8,41.2,56.9,46.5
1990,1990052,Gabon,,266,C,50.2,48.6,47.1,45.5,44.1,42.4,40.6,38.4,37.1,36.6,36.2,36.3,38.7,43.0,42.9,43.0,42.9
1990,1990053,Sao Tome and Principe,,678,C,52.3,64.1,54.3,54.6,58.4,57.7,51.8,43.2,37.6,37.7,37.7,42.0,43.1,46.3,49.4,63.1,47.1
1990,1990054,Southern Africa,,913,,53.0,52.5,49.7,44.9,38.5,33.1,33.0,34.3,35.3,36.5,38.4,44.0,48.3,51.8,51.9,52.0,39.7
1990,1990055,Botswana,,72,B,48.4,48.4,46.0,43.6,41.6,39.2,36.2,32.0,32.7,32.6,36.9,34.7,37.5,41.9,38.5,42.9,39.6
1990,1990056,Eswatini,,748,B R,49.1,47.6,45.8,44.8,45.5,46.3,46.4,46.2,46.4,47.1,48.1,48.6,49.0,49.7,50.5,51.6,46.8
1990,1990057,Lesotho,,426,C R,50.1,49.9,50.2,51.9,52.5,49.3,45.7,42.3,42.1,42.9,43.4,43.9,45.9,50.0,54.0,64.9,47.6
1990,1990058,Namibia,,516,B,50.2,48.2,42.7,42.3,46.0,48.1,47.2,46.8,46.0,45.6,46.3,47.8,50.1,52.7,54.5,55.0,47.2
1990,1990059,South Africa,,710,B R,54.6,54.4,52.0,45.4,37.2,31.3,31.2,33.0,34.0,35.4,37.4,43.5,48.2,51.9,51.3,51.3,38.4
