order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year by age (both sexes),,,,,,,,,,,,,,,,,International migrant stock at mid-year by age (male),,,,,,,,,,,,,,,,,International migrant stock at mid-year by age (female),,,,,,,,,,,,,,,,,,,,,
,,,,,,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,,,,,
2019,2019042,Zambia,,894,B R,"6,709","6,962","8,282","11,822","16,256","19,008","19,098","17,362","15,058","12,779","10,340","8,234","6,581","4,972","3,499","3,287","170,249","3,248","3,338","3,929","5,587","7,816","9,436","9,698","8,881","7,728","6,590","5,355","4,342","3,533","2,733","2,006","1,878","86,098","3,461","3,624","4,353","6,235","8,440","9,572","9,400","8,481","7,330","6,189","4,985","3,892","3,048","2,239","1,493","1,409","84,151",,,,,
2019,2019043,Zimbabwe,,716,B R,"12,405","13,040","15,513","21,731","30,899","39,669","43,402","43,738","41,951","38,534","32,259","25,772","20,154","15,754","9,928","6,508","411,257","5,846","6,161","7,355","10,683","16,234","22,361","25,777","26,955","26,428","24,323","19,924","15,126","10,837","7,659","4,826","3,157","233,652","6,559","6,879","8,158","11,048","14,665","17,308","17,625","16,783","15,523","14,211","12,335","10,646","9,317","8,095","5,102","3,351","177,605",,,,,
2019,2019044,Middle Africa,,911,,"201,549","235,718","248,562","278,265","378,020","460,598","424,872","361,720","307,503","255,951","202,404","155,852","113,460","76,981","44,253","39,571","3,785,279","99,600","113,160","126,936","131,844","190,709","243,888","228,693","200,070","172,860","139,320","111,415","85,472","67,289","44,420","24,795","21,201","2,001,672","101,949","122,558","121,626","146,421","187,311","216,710","196,179","161,650","134,643","116,631","90,989","70,380","46,171","32,561","19,458","18,370","1,783,607",,,,,
2019,2019045,Angola,,24,B R,"49,241","37,609","28,165","32,159","53,964","76,103","80,865","72,416","61,338","51,361","40,329","30,208","21,867","15,023","9,821","9,010","669,479","20,710","15,474","11,389","12,691","21,655","34,917","43,586","42,531","36,660","30,733","24,138","18,014","12,210","7,706","5,039","4,266","341,719","28,531","22,135","16,776","19,468","32,309","41,186","37,279","29,885","24,678","20,628","16,191","12,194","9,657","7,317","4,782","4,744","327,760",,,,,
2019,2019046,Cameroon,,120,B,"27,064","56,644","58,968","47,742","40,314","40,972","40,291","38,468","36,220","33,143","27,362","21,534","15,520","10,232","5,455","5,763","505,692","13,637","24,468","34,200","23,770","18,994","19,402","19,130","18,293","17,243","15,789","13,080","10,319","9,242","6,011","3,215","3,384","250,177","13,427","32,176","24,768","23,972","21,320","21,570","21,161","20,175","18,977","17,354","14,282","11,215","6,278","4,221","2,240","2,379","255,515",,,,,
2019,2019047,Central African Republic,,140,C,"8,203","5,938","5,310","5,442","7,612","9,102","9,059","8,260","7,365","6,533","5,326","4,127","3,051","2,150","1,449","1,722","90,649","3,958","2,968","2,730","2,800","3,908","4,787","4,863","4,492","4,017","3,593","3,012","2,358","1,698","1,149",777,894,"48,004","4,245","2,970","2,580","2,642","3,704","4,315","4,196","3,768","3,348","2,940","2,314","1,769","1,353","1,001",672,828,"42,645",,,,,
2019,2019048,Chad,,148,B R,"38,344","35,359","32,831","35,124","48,968","60,802","60,202","49,917","40,116","33,670","26,676","19,870","12,360","8,098","5,089","4,804","512,230","17,312","15,861","13,359","12,954","23,779","26,438","26,980","26,031","22,477","14,029","11,620","7,753","8,077","5,045","2,615","2,004","236,334","21,032","19,498","19,472","22,170","25,189","34,364","33,222","23,886","17,639","19,641","15,056","12,117","4,283","3,053","2,474","2,800","275,896",,,,,
2019,2019049,Congo,,178,B,"29,704","25,987","26,444","29,768","35,121","40,374","41,585","39,168","36,614","29,004","22,131","16,815","13,053","9,137","4,176","3,061","402,142","16,088","13,602","13,387","15,016","18,261","21,865","23,157","22,069","20,674","16,424","12,675","9,765","7,634","5,368","2,454","1,799","220,238","13,616","12,385","13,057","14,752","16,860","18,509","18,428","17,099","15,940","12,580","9,456","7,050","5,419","3,769","1,722","1,262","181,904",,,,,
2019,2019050,Democratic Republic of the Congo,,180,B R,"16,723","44,789","69,562","96,334","119,790","124,778","109,286","86,403","70,636","58,518","47,418","39,278","31,684","23,123","14,014","11,497","963,833","8,539","22,770","35,078","46,258","55,285","57,443","50,753","39,430","32,015","27,099","23,037","20,188","17,746","13,461","8,159","6,693","463,954","8,184","22,019","34,484","50,076","64,505","67,335","58,533","46,973","38,621","31,419","24,381","19,090","13,938","9,662","5,855","4,804","499,879",,,,,
2019,2019051,Equatorial Guinea,,226,C,"1,196",858,891,"2,280","31,980","64,280","41,000","29,710","22,357","14,709","9,854","5,571","1,868",624,281,158,"227,617",337,245,263,683,"23,861","50,775","32,674","22,554","17,653","11,875","7,946","4,663","1,408",361,92,13,"175,403",859,613,628,"1,597","8,119","13,505","8,326","7,156","4,704","2,834","1,908",908,460,263,189,145,"52,214",,,,,
2019,2019052,Gabon,,266,C,"30,982","28,437","26,287","29,306","40,152","44,047","42,433","37,229","32,710","28,851","23,135","18,304","13,952","8,504","3,854","3,280","411,463","18,972","17,732","16,477","17,617","24,906","28,189","27,468","24,586","22,039","19,694","15,823","12,338","9,219","5,274","2,390","2,034","264,758","12,010","10,705","9,810","11,689","15,246","15,858","14,965","12,643","10,671","9,157","7,312","5,966","4,733","3,230","1,464","1,246","146,705",,,,,
2019,2019053,Sao Tome and Principe,,678,C,92,97,104,110,119,140,151,149,147,162,173,145,105,90,114,276,"2,174",47,40,53,55,60,72,82,84,82,84,84,74,55,45,54,114,"1,085",45,57,51,55,59,68,69,65,65,78,89,71,50,45,60,162,"1,089",,,,,
2019,2019054,Southern Africa,,913,,"198,642","191,635","182,962","214,689","378,764","583,864","648,353","560,262","420,179","296,578","212,390","162,827","129,446","99,077","86,629","115,354","4,481,651","91,868","90,398","90,262","111,276","207,445","337,360","390,181","344,327","257,583","178,340","123,302","85,771","60,851","44,543","37,102","40,967","2,491,576","106,774","101,237","92,700","103,413","171,319","246,504","258,172","215,935","162,596","118,238","89,088","77,056","68,595","54,534","49,527","74,387","1,990,075",,,,,
2019,2019055,Botswana,,72,B,"4,108","4,140","4,368","6,008","9,966","13,543","14,880","13,744","11,353","9,114","6,673","4,648","3,232","2,130","1,344","1,345","110,596","2,187","2,127","2,253","3,029","5,229","7,455","8,542","8,400","7,079","5,619","3,963","2,715","1,810","1,183",680,672,"62,943","1,921","2,013","2,115","2,979","4,737","6,088","6,338","5,344","4,274","3,495","2,710","1,933","1,422",947,664,673,"47,653",,,,,
2019,2019056,Eswatini,,748,B R,"1,922","1,837","1,739","1,737","2,070","2,715","3,245","3,281","2,962","2,583","2,189","1,811","1,429","1,099",844,847,"32,310",951,902,840,827,997,"1,367","1,723","1,807","1,652","1,428","1,186",954,721,521,365,341,"16,582",971,935,899,910,"1,073","1,348","1,522","1,474","1,310","1,155","1,003",857,708,578,479,506,"15,728",,,,,
2019,2019057,Lesotho,,426,C R,459,221,178,292,570,834,853,856,713,607,489,355,244,136,61,60,"6,928",245,119,95,153,298,448,474,491,406,340,260,176,130,67,28,21,"3,751",214,102,83,139,272,386,379,365,307,267,229,179,114,69,33,39,"3,177",,,,,
2019,2019058,Namibia,,516,B,"2,274","2,605","3,213","5,467","9,724","13,587","15,843","12,366","8,620","7,109","6,127","5,416","4,635","3,652","2,932","3,991","107,561","1,177","1,262","1,612","2,984","5,437","7,520","8,816","7,196","4,804","3,733","3,134","2,841","2,372","1,899","1,487","1,664","57,938","1,097","1,343","1,601","2,483","4,287","6,067","7,027","5,170","3,816","3,376","2,993","2,575","2,263","1,753","1,445","2,327","49,623",,,,,
2019,2019059,South Africa,,710,B R,"189,879","182,832","173,464","201,185","356,434","553,185","613,532","530,015","396,531","277,165","196,912","150,597","119,906","92,060","81,448","109,111","4,224,256","87,308","85,988","85,462","104,283","195,484","320,570","370,626","326,433","243,642","167,220","114,759","79,085","55,818","40,873","34,542","38,269","2,350,362","102,571","96,844","88,002","96,902","160,950","232,615","242,906","203,582","152,889","109,945","82,153","71,512","64,088","51,187","46,906","70,842","1,873,894",,,,,
2019,2019060,Western Africa,,914,,"440,526","379,649","391,740","507,145","725,942","894,864","874,714","757,349","638,368","535,900","420,215","306,559","215,396","143,688","86,566","79,325","7,398,379","203,758","176,646","182,153","228,401","329,392","428,485","454,612","424,523","380,071","330,781","268,917","196,901","136,779","89,206","51,940","44,620","3,927,487","236,768","203,003","209,587","278,744","396,550","466,379","420,102","332,826","258,297","205,119","151,298","109,658","78,617","54,482","34,626","34,705","3,470,892",,,,,
